date,portfolio_value,position,trades,costs
2021-01-04,99912.5315773212,0.5831228178586317,1.0,87.46842267879477
2021-01-05,99906.14904336311,0.5831228178586317,0.0,0.0
2021-01-06,99912.5315773212,0.5831228178586317,0.0,0.0
2021-01-07,99912.5315773212,0.5831228178586317,0.0,0.0
2021-01-08,99906.14904336311,0.5831228178586317,0.0,0.0
2021-01-11,99912.5315773212,0.5831228178586317,0.0,0.0
2021-01-12,99906.14904336311,0.5831228178586317,0.0,0.0
2021-01-13,99906.14904336311,0.5831228178586317,0.0,0.0
2021-01-14,99912.5315773212,0.5831228178586317,0.0,0.0
2021-01-15,99912.5315773212,0.5831228178586317,0.0,0.0
2021-01-19,99912.5315773212,0.5831228178586317,0.0,0.0
2021-01-20,99912.5315773212,0.5831228178586317,0.0,0.0
2021-01-21,99912.5315773212,0.5831228178586317,0.0,0.0
2021-01-22,99906.14904336311,0.5831228178586317,0.0,0.0
2021-01-25,99912.5315773212,0.5831228178586317,0.0,0.0
2021-01-26,99906.14904336311,0.5831228178586317,0.0,0.0
2021-01-27,99906.14904336311,0.5831228178586317,0.0,0.0
2021-01-28,99912.5315773212,0.5831228178586317,0.0,0.0
2021-01-29,99912.5315773212,0.5831228178586317,0.0,0.0
2021-02-01,99912.5315773212,0.5831228178586317,0.0,0.0
2021-02-02,99906.14904336311,0.5831228178586317,0.0,0.0
2021-02-03,99906.14904336311,0.5831228178586317,0.0,0.0
2021-02-04,99912.5315773212,0.5831228178586317,0.0,0.0
2021-02-05,99912.5315773212,0.5831228178586317,0.0,0.0
2021-02-08,99912.5315773212,0.5831228178586317,0.0,0.0
2021-02-09,99912.5315773212,0.5831228178586317,0.0,0.0
2021-02-10,99906.14904336311,0.5831228178586317,0.0,0.0
2021-02-11,99912.5315773212,0.5831228178586317,0.0,0.0
2021-02-12,99906.14904336311,0.5831228178586317,0.0,0.0
2021-02-16,99912.5315773212,0.5831228178586317,0.0,0.0
2021-02-17,99912.5315773212,0.5831228178586317,0.0,0.0
2021-02-18,99906.14904336311,0.5831228178586317,0.0,0.0
2021-02-19,99912.5315773212,0.5831228178586317,0.0,0.0
2021-02-22,99906.14904336311,0.5831228178586317,0.0,0.0
2021-02-23,99906.14904336311,0.5831228178586317,0.0,0.0
2021-02-24,99899.77710910646,0.5831228178586317,0.0,0.0
2021-02-25,99906.14904336311,0.5831228178586317,0.0,0.0
2021-02-26,99906.14904336311,0.5831228178586317,0.0,0.0
2021-03-01,99899.77710910646,0.5831228178586317,0.0,0.0
2021-03-02,99899.77710910646,0.5831228178586317,0.0,0.0
2021-03-03,99906.14904336311,0.5831228178586317,0.0,0.0
2021-03-04,99906.14904336311,0.5831228178586317,0.0,0.0
2021-03-05,99906.14904336311,0.5831228178586317,0.0,0.0
2021-03-08,99899.77710910646,0.5831228178586317,0.0,0.0
2021-03-09,99899.77710910646,0.5831228178586317,0.0,0.0
2021-03-10,99899.77710910646,0.5831228178586317,0.0,0.0
2021-03-11,99906.14904336311,0.5831228178586317,0.0,0.0
2021-03-12,99899.77710910646,0.5831228178586317,0.0,0.0
2021-03-15,99899.77710910646,0.5831228178586317,0.0,0.0
2021-03-16,99899.77710910646,0.5831228178586317,0.0,0.0
2021-03-17,99906.14904336311,0.5831228178586317,0.0,0.0
2021-03-18,99899.77710910646,0.5831228178586317,0.0,0.0
2021-03-19,99899.77710910646,0.5831228178586317,0.0,0.0
2021-03-22,99899.77710910646,0.5831228178586317,0.0,0.0
2021-03-23,99906.14904336311,0.5831228178586317,0.0,0.0
2021-03-24,99899.77710910646,0.5831228178586317,0.0,0.0
2021-03-25,99899.77710910646,0.5831228178586317,0.0,0.0
2021-03-26,99899.77710910646,0.5831228178586317,0.0,0.0
2021-03-29,99899.77710910646,0.5831228178586317,0.0,0.0
2021-03-30,99906.14904336311,0.5831228178586317,0.0,0.0
2021-03-31,99899.77710910646,0.5831228178586317,0.0,0.0
2021-04-01,99906.14904336311,0.5831228178586317,0.0,0.0
2021-04-05,99899.77710910646,0.5831228178586317,0.0,0.0
2021-04-06,99893.40447849596,0.5831228178586317,0.0,0.0
2021-04-07,99893.40447849596,0.5831228178586317,0.0,0.0
2021-04-08,99899.77710910646,0.5831228178586317,0.0,0.0
2021-04-09,99893.40447849596,0.5831228178586317,0.0,0.0
2021-04-12,99893.40447849596,0.5831228178586317,0.0,0.0
2021-04-13,99893.40447849596,0.5831228178586317,0.0,0.0
2021-04-14,99893.40447849596,0.5831228178586317,0.0,0.0
2021-04-15,99899.77710910646,0.5831228178586317,0.0,0.0
2021-04-16,99899.77710910646,0.5831228178586317,0.0,0.0
2021-04-19,99893.40447849596,0.5831228178586317,0.0,0.0
2021-04-20,99893.40447849596,0.5831228178586317,0.0,0.0
2021-04-21,99893.40447849596,0.5831228178586317,0.0,0.0
2021-04-22,99899.77710910646,0.5831228178586317,0.0,0.0
2021-04-23,99899.77710910646,0.5831228178586317,0.0,0.0
2021-04-26,99893.40447849596,0.5831228178586317,0.0,0.0
2021-04-27,99899.77710910646,0.5831228178586317,0.0,0.0
2021-04-28,99893.40447849596,0.5831228178586317,0.0,0.0
2021-04-29,99893.40447849596,0.5831228178586317,0.0,0.0
2021-04-30,99899.77710910646,0.5831228178586317,0.0,0.0
2021-05-03,99899.77710910646,0.5831228178586317,0.0,0.0
2021-05-04,99893.40447849596,0.5831228178586317,0.0,0.0
2021-05-05,99899.77710910646,0.5831228178586317,0.0,0.0
2021-05-06,99899.77710910646,0.5831228178586317,0.0,0.0
2021-05-07,99893.40447849596,0.5831228178586317,0.0,0.0
2021-05-10,99893.40447849596,0.5831228178586317,0.0,0.0
2021-05-11,99893.40447849596,0.5831228178586317,0.0,0.0
2021-05-12,99887.0424522212,0.5831228178586317,0.0,0.0
2021-05-13,99887.0424522212,0.5831228178586317,0.0,0.0
2021-05-14,99887.0424522212,0.5831228178586317,0.0,0.0
2021-05-17,99893.40447849596,0.5831228178586317,0.0,0.0
2021-05-18,99893.40447849596,0.5831228178586317,0.0,0.0
2021-05-19,99887.0424522212,0.5831228178586317,0.0,0.0
2021-05-20,99887.0424522212,0.5831228178586317,0.0,0.0
2021-05-21,99893.40447849596,0.5831228178586317,0.0,0.0
2021-05-24,99887.0424522212,0.5831228178586317,0.0,0.0
2021-05-25,99887.0424522212,0.5831228178586317,0.0,0.0
2021-05-26,99887.0424522212,0.5831228178586317,0.0,0.0
2021-05-27,99893.40447849596,0.5831228178586317,0.0,0.0
2021-05-28,99893.40447849596,0.5831228178586317,0.0,0.0
2021-06-01,99887.0424522212,0.5831228178586317,0.0,0.0
2021-06-02,99887.0424522212,0.5831228178586317,0.0,0.0
2021-06-03,99887.0424522212,0.5831228178586317,0.0,0.0
2021-06-04,99893.40447849596,0.5831228178586317,0.0,0.0
