Date,SPY
2011-01-04,-0.0005506760678059588
2011-01-05,0.005184085197460681
2011-01-06,-0.001960359028952324
2011-01-07,-0.001964757061547267
2011-01-10,-0.0012589691069611482
2011-01-11,0.0035369989877544195
2011-01-12,0.008984405317208262
2011-01-13,-0.001634725546044033
2011-01-14,0.007218770075567576
2011-01-18,0.001699907000162217
2011-01-19,-0.009853763504507779
2011-01-20,-0.0013264760734811034
2011-01-21,0.00226156250225914
2011-01-24,0.005670566389536576
2011-01-25,0.0005421747762819233
2011-01-26,0.0038633192910263402
2011-01-27,0.002464907279553134
2011-01-28,-0.01761701669797272
2011-01-31,0.007488074602163972
2011-02-01,0.015881998419885003
2011-02-02,-0.0019138324712435165
2011-02-03,0.0022196878008642167
2011-02-04,0.0028250012286518893
2011-02-07,0.006232835634118928
2011-02-08,0.004536515867201273
2011-02-09,-0.002265535083889699
2011-02-10,0.0003778455953804335
2011-02-11,0.0059526137166576515
2011-02-14,0.0024014314320573485
2011-02-15,-0.003152777934976276
2011-02-16,0.006295721383238005
2011-02-17,0.002983636878584469
2011-02-18,0.002083601689774335
2011-02-22,-0.020273918183287953
2011-02-23,-0.006163574459031414
2011-02-24,-0.0006870069003923416
2011-02-25,0.010635869453413228
2011-02-28,0.006177352438613804
2011-03-01,-0.016813221892027077
2011-03-02,0.002136455079218797
2011-03-03,0.01707762698530325
2011-03-04,-0.007520828494470379
2011-03-07,-0.007881994548780705
2011-03-08,0.008712232358482662
2011-03-09,-0.00143385900697133
2011-03-10,-0.018679860516342323
2011-03-11,0.006902596942043765
2011-03-14,-0.006056200735813309
2011-03-15,-0.011523167972566972
2011-03-16,-0.018686256123771526
2011-03-17,0.01314814778374008
2011-03-18,0.0036306946044052236
2011-03-21,0.015378890216109865
2011-03-22,-0.003474864912155808
2011-03-23,0.0028577690004972216
2011-03-24,0.009518522613315527
2011-03-25,0.0030507948476602618
2011-03-28,-0.0024399966610957158
2011-03-29,0.006696073882014821
2011-03-30,0.006877582889213423
2011-03-31,-0.0013568331244806831
2011-04-01,0.004214458749786184
2011-04-04,0.0008260688580462077
2011-04-05,-0.00014986662678462287
2011-04-06,0.0031470847876582924
2011-04-07,-0.002547307416777905
2011-04-08,-0.0034560647144959928
2011-04-11,-0.0030150686975922948
2011-04-12,-0.007502487110625668
2011-04-13,-7.598842283510033e-05
2011-04-14,0.0007607533563846521
2011-04-15,0.003641557030835833
2011-04-18,-0.01127177200664923
2011-04-19,0.005727886230855705
2011-04-20,0.013539628431769072
2011-04-21,0.005096087397232616
2011-04-25,-0.0010470125854552155
2011-04-26,0.008568813883760167
2011-04-27,0.00650683060089369
2011-04-28,0.0032379705026816985
2011-04-29,0.0023485770523619504
2011-05-02,-0.0015404655881861992
2011-05-03,-0.0036039425741190225
2011-05-04,-0.006652484911317277
2011-05-05,-0.009089801499413956
2011-05-06,0.004405991488110269
2011-05-09,0.003867584631671332
2011-05-10,0.008499973625138145
2011-05-11,-0.010580462027756192
2011-05-12,0.004749057628163196
2011-05-13,-0.007729155749016185
2011-05-16,-0.006361328721810341
2011-05-17,-0.0001504658198616653
2011-05-18,0.008896818895010001
2011-05-19,0.0023784673903035386
2011-05-20,-0.007976481339952188
2011-05-23,-0.011668411595030284
2011-05-24,-0.0008338031787400358
2011-05-25,0.003329329406406066
2011-05-26,0.00459696037505354
2011-05-27,0.0038270706813773605
2011-05-31,0.010357385022064713
2011-06-01,-0.022716902227399204
2011-06-02,-0.0010622604955096242
2011-06-03,-0.009994455482011236
2011-06-06,-0.010637582230894732
2011-06-07,-0.0006199071749979192
2011-06-08,-0.004196478877977721
2011-06-09,0.007602332049666129
2011-06-10,-0.01400807735496425
2011-06-13,0.0007833700108060904
2011-06-14,0.012606448767021066
2011-06-15,-0.01794566224051439
2011-06-16,0.002202200224074783
2011-06-17,0.002979535357930541
2011-06-20,0.005103181094152975
2011-06-21,0.013611146266135729
2011-06-22,-0.006043807970862428
2011-06-23,-0.00287991960854219
2011-06-24,-0.011681649845077906
2011-06-27,0.00887165127298562
2011-06-28,0.012968841127071503
2011-06-29,0.00852738631607428
2011-06-30,0.009516956013483962
2011-07-01,0.014667908862806656
2011-07-05,-0.0008215471445801965
2011-07-06,0.0011950421270767782
2011-07-07,0.0103219279605323
2011-07-08,-0.007116921378816743
2011-07-11,-0.01824641042701878
2011-07-12,-0.004328364480775521
2011-07-13,0.0033429162304923665
2011-07-14,-0.006926291203816211
2011-07-15,0.005787941194752567
2011-07-18,-0.008235050873491656
2011-07-19,0.01610153170382095
2011-07-20,-0.0006030360619661839
2011-07-21,0.013775792311518372
2011-07-22,0.0006689471165030616
2011-07-25,-0.005588501416029619
2011-07-26,-0.003743094124497653
2011-07-27,-0.02068797726139215
2011-07-28,-0.00291423906515085
2011-07-29,-0.006857807766618881
2011-08-01,-0.004261603710059081
2011-08-02,-0.025208763771856067
2011-08-03,0.005404016651836957
2011-08-04,-0.025208763771856067
2011-08-05,-0.001497907035112302
2011-08-08,-0.025208763771856067
2011-08-09,0.022905365602345837
2011-08-10,-0.025208763771856067
2011-08-11,0.022905365602345837
2011-09-08,-0.010446127281421472
2011-09-09,-0.025208763771856067
2011-09-12,0.006449078791610045
2011-09-13,0.009129211040491487
2011-09-14,0.013749286452644107
2011-09-15,0.01711001643249297
2011-09-16,0.005901138119342127
2011-09-19,-0.010007131121403954
2011-09-20,-0.0011645808521985803
2011-09-21,-0.025208763771856067
2011-09-22,-0.025208763771856067
2011-09-23,0.0060072981112540445
2011-09-26,0.022905365602345837
