Date,SPY_rsi14,SPY_macd,SPY_macd_signal,SPY_macd_hist,SPY_bb_upper,SPY_bb_middle,SPY_bb_lower,SPY_bb_position,SPY_bb_width,SPY_stochastic,SPY_mom_5,SPY_mom_10,SPY_mom_20,SPY_mom_60,SPY_mom_120,SPY_roc_10,SPY_roc_20,SPY_mom_acceleration,SPY_vol_5,SPY_vol_10,SPY_vol_20,SPY_vol_60,SPY_vol_parkinson,SPY_volvol_20,SPY_downside_vol_20,SPY_vol_asymmetry,SPY_dd_20,SPY_dd_60,SPY_dd_120,SPY_dd_252,SPY_days_since_high_60,SPY_days_since_high_120,SPY_sharpe_20,SPY_sharpe_60,SPY_sortino_20,SPY_sortino_60,SPY_calmar,SPY_ma_5_20_cross,SPY_ma_10_50_cross,SPY_ma_20_60_cross,SPY_ma_50_200_cross,SPY_adx_14,SPY_adx_28,SPY_trend_slope_20,SPY_trend_slope_60,SPY_skew_20,SPY_skew_60,SPY_kurt_20,SPY_kurt_60,SPY_autocorr_1,SPY_autocorr_5,SPY_autocorr_10,ew_value,ew_vol_5,ew_vol_20,ew_vol_60,ew_ret_5,ew_ret_20,ew_ret_60,ew_dd_60,ew_dd_120,ew_dd_252,ew_sharpe_20,ew_sharpe_60,avg_correlation_60,regime_0,regime_1,regime_2
2013-05-23,1.2523161476907418,1.2541505315976924,1.1426590033550674,0.46762368219820777,-1.7371079765028574,-1.7679099585424236,-1.7862917826572418,0.2806380206590285,1.180324214220042,0.0863445233510139,-0.23410124335397783,0.49514044675493807,1.435991747799552,2.003134563741251,2.324708004044189,0.4951404467549371,1.4359917477995539,0.7085700419638513,0.03029094551830439,-0.2579395428786654,-0.43043071202895095,-0.12148699666243487,-0.11817036903664185,0.9254127850977469,-0.5749300739681088,0.20042313163056494,0.05825871425317756,0.2116983025668813,0.23179195046635648,0.23489619339624718,-1.1280244504442476,-1.1280244504442476,1.5430952991397846,1.640089387751991,1.0193717797800652,1.234459429495224,-0.04672028892337068,1.4757981713035113,1.6490406168060454,1.284702831352607,1.421967299653256,1.9407020602745588,-0.38386041109082497,1.2086309862976694,0.6719038772621198,-0.45693870769597855,-1.036978894507229,-0.6611177118609656,0.2036202268131647,-1.5081078437231554,-2.007221239443316,1.4951356550459638,-1.492783799018347,-0.02312571137857357,-0.3327414712972917,-0.5241804767464853,-0.6171078707282409,1.6801215161727605,1.580779909240766,0.24910573670324576,0.2577788874146253,0.2577788874146253,1.7056290703893593,1.6721340814120738,-1.117999985633911,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-05-24,0.7933556509951543,1.1554964236443752,1.1872510556513316,0.1470211034630994,-1.7336946277351066,-1.7566711854778052,-1.7674643101552896,0.1935070387601649,1.05758052170382,-0.01890151972667505,-0.12052032451526812,0.49152855440117105,1.177740318085671,1.5726134968649323,2.153003697755432,0.49152855440116977,1.17774031808567,0.6753431964977876,-0.03520085220457336,-0.2561144829493344,-0.394193189430007,-0.17141660635295702,-0.14152279611229981,0.9586277662837975,-0.5724989615546732,0.24789887067147004,0.009974863320997654,0.17439958077100487,0.1948352007428329,0.19833326435883827,-1.1205953225201832,-1.1205953225201832,1.2132943226738513,1.3021021218147808,0.7970748340097209,0.9299781048608495,-0.0467245124005261,1.3141603575546357,1.6637325349956211,1.324295654097182,1.4349235267890428,1.9720621492013173,-0.2699172602960029,1.1161485057932963,0.6790501526119833,-0.21497117164316745,-1.0561950476018638,-0.8281135066011811,0.25442452976199176,-1.3054407834363722,-1.9328565416068917,1.5719514308295661,-1.4925021879765383,0.007113560320101775,-0.34736889193503045,-0.5564435797127625,-0.35787953501834474,1.533027963187018,1.4324380786082234,0.25289730891890416,0.261568400986779,0.261568400986779,1.5586584523235403,1.5366398048485448,-1.2167117833754433,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-05-28,0.6519948511347027,1.0505979460215744,1.2014621562756038,-0.12379670267045634,-1.7354128135496214,-1.7452054536681485,-1.7431637037164118,0.3844785326251829,0.8564828637351315,0.3165276144944304,-0.7752166484565889,0.29839858459489293,1.2118976529208614,1.6039465370451536,2.1290545659331137,0.29839858459489205,1.211897652920858,0.5158909502428624,-0.7429216483330084,-0.2525839560869643,-0.40371967998701375,-0.17480091585454555,-0.16023250419163906,0.9717555276262022,-0.5717341561317758,0.24651547944373334,0.3512448339554205,0.43802672413741695,0.45604528753988444,0.45675982889345956,-1.1131661945961189,-1.1131661945961189,1.2610174065693154,1.3330082519014284,0.825237779101405,0.95136210963777,-0.04669652493708942,0.980809421843937,1.6626705435911031,1.3654204541997033,1.4435530423322915,1.971724952531597,-0.15610384384452675,0.972165547750636,0.6766611176499735,-0.24297342425144206,-1.07413900425964,-0.7940450315544558,0.2736277635635966,-1.2573104877901122,-1.9640529207298412,1.6110713288792395,-1.4742890351336708,-0.5973723135171429,-0.40102083294909396,-0.5594725033124757,-0.8603473369615224,1.643750311115237,1.4534364144731409,0.4981166860962261,0.506654635697246,0.506654635697246,1.7244959080949411,1.5612779907731287,-1.2295274150092315,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-05-29,0.6862448622130469,1.0070083396570655,1.190010011418446,-0.19969883368616503,-1.7319150539033532,-1.7338531781551545,-1.7241949952656277,0.05092486568708779,0.7344557013156068,-0.2562171794747051,-0.3992022065039432,0.542594653188861,1.1857420263482703,1.678362015084907,2.377221201529971,0.5425946531888642,1.1857420263482668,-0.33173799575579577,-0.36013947086369724,-0.1986811672004588,-0.4124994728841216,-0.16630513804567024,-0.1745577241817978,0.9620955129181963,-0.5717341561317758,0.23140297782538002,-0.02104373412872864,0.15043806953196356,0.1710933798111422,0.17484444241322938,-1.1057370666720543,-1.1057370666720543,1.2403262664965662,1.3927285697617289,0.8030027666127522,1.0047817843641356,-0.046725394841405865,0.7474945613740847,1.6820673122091685,1.4017967640339704,1.457755781437668,1.9554207771361019,-0.03076249783501891,0.8900928080694096,0.6846963966153148,-0.23661385773283283,-1.085478066915821,-0.7752960626099444,0.25628083913160765,-1.3010798727294708,-2.0041017609670395,1.609472960372233,-1.5017393620192827,-0.2437995307598221,-0.5227213188082195,-0.5509798925750006,-0.4983581349548467,1.4448985660061022,1.5858530163894577,0.1285292719742563,0.13726788997514397,0.13726788997514397,1.6054497089341602,1.697109481131703,-1.2293627812998753,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-05-30,0.0920739385310972,0.8928763107441887,1.1713652264294236,-0.4223709200488019,-1.7344557313733815,-1.7248686086362817,-1.7039833858948545,0.1667453385332712,0.5605413235916324,0.052080165634653744,-0.894526162811513,-0.2453377469997906,0.8573056568047369,1.351318384513479,2.2608307362784306,-0.24533774699979283,0.8573056568047389,-0.48326826567127784,-0.26606551420009983,-0.29303228570040274,-0.30874579730520013,-0.14142711236611,-0.09060099268080295,0.9176139551887508,-0.4774735453179892,0.11332031597666656,0.18924574531380753,0.31288428371947635,0.3320502113646978,0.3340860763286951,-1.09830793874799,-1.09830793874799,0.7898546020929897,1.0806735801926812,0.4426957384988867,0.7564398253708353,-0.04671556549244963,0.4231708046228811,1.6103025691924993,1.4224433216269596,1.4725153673300424,1.8283951219661663,0.13093088689530968,0.7470045155005515,0.6850469472490249,-0.08381773175281929,-0.9429730892853322,-0.9858572226116807,0.11504584330050267,-1.4682693969987215,-2.0116708640973986,1.4607095558103538,-1.4775545299552117,0.02579535785422933,-0.42177174299530884,-0.47414192687479395,-0.8629745775004815,0.8108658926808143,1.299022577303171,0.45415051432890136,0.46271233547153695,0.46271233547153695,0.815045658949562,1.3407048851882293,-1.168883722791585,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-05-31,0.40566634708368,0.8219928164803347,1.131619582173532,-0.5012191625093085,-1.7481857729742323,-1.7126241589580515,-1.6663831676224534,-0.6435269038835761,0.17452690785916175,-1.415713368716433,-0.20009894791896835,-0.32373878829554603,1.3192409141791677,1.2078270506022657,2.3045098124471655,-0.3237387882955443,1.3192409141791706,-0.75387202466115,-0.3519551836551965,-0.33660061665385804,-0.4787305935455712,-0.16801012627355458,-0.1946272603519871,0.8828456369263545,-0.7068634492685097,0.49937171908047384,-0.6312004081461362,-0.3209009723360684,-0.29592420595417057,-0.28719648313630003,-1.0908788108239256,-1.0908788108239256,1.4652486276431858,0.969636316983018,1.1069532615654742,0.6528744701985065,-0.04673698985524713,0.22972780752285094,1.5226369072825205,1.4867440728819912,1.4914383663731074,1.7050795174755058,0.2860769798556847,0.5374985697837267,0.7015883103511108,-0.10030901834119303,-0.9600329490195665,-0.9086000853885469,0.17442953925893512,-1.5173295456232228,-1.9935610272112438,1.5803776051287326,-1.5043880082631584,-0.14458242467709298,-0.41545299098729754,-0.49590477239842035,0.19622336677835303,1.1629807533666265,1.2513439632131225,0.09286826435576291,0.10162624458886697,0.10162624458886697,1.20292659782661,1.3041521556918894,-1.2759493332370127,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-06-03,-0.4714738513763184,0.6138000194900836,1.0844021182801777,-0.8795306782230221,-1.7621501382039853,-1.7066236361884808,-1.6408705940117356,-0.43061547065727757,-0.11954670903342843,-0.9142402990056337,-0.9211338548603571,-0.7743429924907926,0.4476934646280389,0.7786910329253659,1.9012259225999657,-0.7743429924907906,0.4476934646280361,-1.6090512080979338,0.44753513352669355,0.09603872443819803,-0.1829497292116037,-0.046044715293360274,-0.08875413078620825,0.7779880590358309,-0.0881887621220209,-0.45295657057689664,-0.32094903496143967,-0.08123534020869763,-0.05845594008880969,-0.052258740547287644,-1.0834496828998612,-1.0834496828998612,0.28961059863733934,0.512809978632473,-0.041242863671148745,0.2639538299684178,-0.04673473254646379,-0.05280879122242843,1.405775590055279,1.494009318071893,1.4965427095905062,1.4574823471341027,0.403913842975567,0.2602850824741674,0.6917145451970758,-0.7221284358219607,-0.8988035862647995,-0.18135197678893805,-0.09000756094220953,-1.5289674726022857,-1.6761450869818655,1.7918390742394465,-1.5088294053217528,0.23763131431695306,-0.4858884867125763,-0.42486299467824856,-0.4124029495495567,0.41770972931422223,1.065994108780637,0.033069907097032454,0.041860354995991264,0.041860354995991264,0.4015789413771707,1.0686597474711506,-1.313893430261176,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-06-04,-0.28704728783598116,0.4890834234060932,1.0013350866097885,-0.9905363081278342,-1.769046156540351,-1.7017908440839165,-1.6245837361521749,-0.846288862939691,-0.292504125341217,-1.3746549527625904,-0.5268252324959676,-0.9643100417312699,0.2809621376460714,0.8779469280283713,1.9565635533652246,-0.96431004173127,0.28096213764607086,-1.7962862644383764,0.6352635298766702,-0.07490990171190462,-0.26755486186858063,-0.03663937097870677,-0.18217353081462442,0.643861409819826,-0.0881887621220209,-0.5854672737421903,-0.5932757093034283,-0.2916045768742929,-0.2668964135057466,-0.258478018353971,-1.0760205549757966,-1.0760205549757966,0.14812818231770103,0.5956252662217867,-0.14401111905589076,0.33219133143127544,-0.046736938372566754,-0.21722299681446017,1.2504391276836044,1.4833052514378666,1.5114738476985594,1.225972738877136,0.47959346829611976,0.08358645971064509,0.6906688942449534,-0.8929677511092864,-0.9222093279531759,-0.03249196338147963,-0.10220286139163243,-1.6178238940908691,-1.71364534440466,1.9014526534103642,-1.5117415858878098,0.23481956721456584,-0.5695660301397696,-0.45040905198886966,-0.5007397011323369,0.09479676352823224,0.8519898433331292,-0.00613929027793339,0.002672446351638796,0.002672446351638796,0.0545094942206493,0.8596413145838476,-1.4057803675086287,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-06-05,-0.9127845000069856,0.3339735164578045,0.907748935939288,-1.1491173821385428,-1.7751512114425514,-1.6989041774509357,-1.6129105228230662,-2.0094465037656404,-0.4245921392831059,-2.7092283188626407,-1.1965508300513183,-1.1817310703574024,0.015860198431631684,0.6339261353059021,1.8392045092905145,-1.1817310703574042,0.01586019843162842,-1.8829365272700833,0.4148945294621498,-0.06025236800475615,-0.22965079090805693,-0.025299013585626345,-0.13583970923665437,0.48228716136538263,-0.07918666186038241,-0.5675485636462019,-1.3826509463636991,-0.9013879059012303,-0.8710889646541611,-0.8562321373670184,-1.0685914270517323,-1.0685914270517323,-0.145301214547259,0.3749101959457659,-0.3097102586273679,0.16383216558508837,-0.046741936019232884,-0.5238176259136873,1.083455266906436,1.4591637626477136,1.5173361877535247,0.9651103156299947,0.565447096476407,-0.12152747996683982,0.6849274191506658,-0.6309704653242135,-0.8123866949452013,-0.29203032454148364,-0.17704095173854692,-1.6904761338367431,-1.7660992244594804,1.881540364185016,-1.5430048162005108,-0.03954194519103481,-0.5880148984141178,-0.45172395197677456,-0.894680231500126,-0.07783740850357905,0.8602266614122479,-0.42706311011145975,-0.41802283185366973,-0.41802283185366973,-0.14567109426148894,0.8688938794276422,-1.4201598870686267,-1.1239029738980326,-0.27386127875258304,1.2990381056766578
2013-06-06,-1.6041357212101806,0.07053771496354075,0.7991353205346606,-1.5246754293567013,-1.7683357780689772,-1.70106097011255,-1.6238396344693085,-1.209797132750506,-0.2930701241852069,-0.9023011884920582,-1.663011806929865,-1.8844507079765875,-0.6653819676965459,0.15926763894960141,1.3774937971480188,-1.884450707976585,-0.6653819676965458,-2.20244005580776,0.7480489271005799,0.18588557604642136,-0.0027968265483558513,0.07630072331430478,0.04788097182205687,0.28474315935250755,0.27316180228987397,-0.7932457578141542,-0.8793949668251501,-0.5126284260642692,-0.48589381299161377,-0.4751417248942175,-1.061162299127668,-1.061162299127668,-0.8421812313115692,-0.0782467515155734,-0.70363163670677,-0.20231386714569638,-0.04673893318423705,-0.8722228422110766,0.8438516972608672,1.3944207264703916,1.5183062978195947,0.860656584551791,0.5839063627931216,-0.3952663286428069,0.6588876804824685,-0.562683912886591,-0.7125695820995657,-0.5196412667416636,-0.38409481182300764,-1.3900396513907534,-1.2762737817073089,1.856252998436221,-1.5307817911171098,0.054764218818445266,-0.4865768296583397,-0.36251472416131303,-0.9725715775533244,-0.18124380996016032,0.574170253853982,-0.262493986685466,-0.2535430616399437,-0.2535430616399437,-0.281953311782177,0.5332373796060803,-1.355595999255415,-1.1239029738980326,-0.27386127875258304,1.2990381056766578
