Date,NVDA
2013-05-23,0.015846219649137166
2013-05-24,-0.006171038688979169
2013-05-28,-0.0006882522922331523
2013-05-29,-0.006213203046196882
2013-05-30,0.013072494027409098
2013-05-31,-0.01099692807387025
2013-06-03,-0.0013830255829084634
2013-06-04,0.001383025582908487
2013-06-05,-0.021656441467143087
2013-06-06,0.006335583888235121
2013-06-07,0.01393783199599939
2013-06-10,-0.0006925403706303748
2013-06-11,-0.01887500640429696
2013-06-12,-0.00850485677067039
2013-06-13,0.022520471602662476
2013-06-14,-0.0013927458671291713
2013-06-17,0.009708642535323221
2013-06-18,-0.0062302307176170585
2013-06-19,0.030097856841567832
2013-06-20,-0.027324131219839815
2013-06-21,-0.0013859897060200695
2013-06-24,-0.0210239886317513
2013-06-25,0.007057581680040973
2013-06-26,-0.005641984618785324
2013-06-27,-0.00923594609760235
2013-06-28,0.002138746000043525
2013-07-01,0.00426427101778375
2013-07-02,-0.0007094653649723853
2013-07-03,0.0028351176252120087
2013-07-05,0.007754192302645302
2013-07-08,-0.004927540610890931
2013-07-09,0.0049275406108909535
2013-07-10,0.01325479958899415
2013-07-11,0.013765160231821214
2013-07-12,0.0006833746156828185
2013-07-15,-0.0020517887583114624
2013-07-16,0.0054607177583656285
2013-07-17,-0.005460717758365585
2013-07-18,-0.004115460202461051
2013-07-19,-0.02153608547572561
2013-07-22,-0.0007022187033408827
2013-07-23,-0.0014065477613967408
2013-07-24,0.0
2013-07-25,0.003512711681246096
2013-07-26,-0.004216683168718693
2013-07-29,-0.0021148026586808484
2013-07-30,0.01679538946677511
2013-07-31,0.002079616937521823
2013-08-01,0.013755868643092105
2013-08-02,0.00816297721506365
2013-08-05,0.004731037297078727
2013-08-06,-0.014945803270453886
2013-08-07,-0.0006844286886310991
2013-08-08,0.006825557346833376
2013-08-09,-0.01438870344709382
2013-08-12,-0.008315896668194003
2013-08-13,0.0034734018662849484
2013-08-14,0.041432318106710005
2013-08-15,0.00663135004466687
2013-08-16,0.003957669691217493
2013-08-19,-0.015926047260163737
2013-08-20,0.005029388271420053
2013-08-21,-0.004693034284771528
