Date,TSLA
2013-05-23,0.05103372909512395
2013-05-24,0.04584332899082307
2013-05-28,0.05103372909512395
2013-05-29,-0.049525178569087704
2013-05-30,0.0030537805397507943
2013-05-31,-0.049525178569087704
2013-06-03,-0.049525178569087704
2013-06-04,0.02401013043759963
2013-06-05,0.005572699196271041
2013-06-06,0.020548664159700483
2013-06-07,0.04705226644402661
2013-06-10,-0.019694890527272947
2013-06-11,-0.049525178569087704
2013-06-12,0.033926248780119836
2013-06-13,0.004593913593257561
2013-06-14,0.021363275912987825
2013-06-17,0.018765894255266397
2013-06-18,0.011576633455572242
2013-06-19,0.01239982687547746
2013-06-20,-0.03925893647193869
2013-06-21,-0.010989110974938845
2013-06-24,0.01930019421936079
2013-06-25,0.008926495804479042
2013-06-26,0.031907332890216085
2013-06-27,0.032844694431412046
2013-06-28,-0.017451151855140838
2013-07-01,0.05103372909512395
2013-07-02,0.005446914069103484
2013-07-03,-0.022141177523888514
2013-07-05,0.04122448257259886
2013-07-08,0.01257777713172571
2013-07-09,0.01501697568422248
2013-07-10,-0.009604504667795992
2013-07-11,0.026950164909807735
2013-07-12,0.033583085644851594
2013-07-15,-0.020532643971807745
2013-07-16,-0.049525178569087704
2013-07-17,0.05103372909512395
2013-07-18,-0.010197504390279215
2013-07-19,0.005446036894914779
2013-07-22,0.02271787290183905
2013-07-23,0.0025289090051883387
2013-07-24,-0.008509382736153353
2013-07-25,0.019286922916051285
2013-07-26,0.04198529538867509
2013-07-29,0.03962484044376686
2013-07-30,-0.021625647260585263
2013-07-31,0.019096795224891938
2013-08-01,0.009413463845989272
2013-08-02,0.017913065966589675
2013-08-05,0.04727073817644731
2013-08-06,-0.0176414866810145
2013-08-07,-0.049525178569087704
2013-08-08,0.05103372909512395
2013-08-09,-0.0031323969852793433
2013-08-12,-0.0374236877569689
2013-08-13,-0.013319426896944903
2013-08-14,-0.04263428424164275
2013-08-15,0.0022219257859984534
2013-08-16,0.016544681746008767
2013-08-19,0.020216722201398862
2013-08-20,0.031787545474039655
2013-08-21,-0.011565514097512442
2013-08-22,0.05103372909512395
2013-08-23,0.029725646112549436
2013-08-26,0.01459879429706705
2013-08-27,0.016846687003756907
2013-08-28,-0.003358654933069743
2013-08-29,-0.002345797122742661
2013-08-30,0.017549553949214536
2013-09-03,-0.000355151535970555
2013-09-04,0.009895280064945338
2013-09-05,-0.004052316183617282
2013-09-06,-0.017572432181777415
2013-09-09,-0.03827490340706454
2013-09-10,0.03467497496296742
2013-09-11,-0.017278965558512976
2013-09-12,0.00858582232990233
2013-09-13,0.003691794783350585
2013-09-16,0.006262793778422018
2013-09-17,-0.0021033224668529056
2013-09-18,-6.015506324789147e-05
2013-09-19,0.05103372909512395
2013-09-20,0.03028104500995909
2013-09-23,-0.01251040780497927
2013-09-24,0.006713557691755747
2013-09-25,0.01583407032356162
2013-09-26,0.01818821458521117
2013-09-27,0.011909334905901684
2013-09-30,0.012855608538656584
2013-10-01,-0.0019151984326633063
2013-10-02,-0.049525178569087704
2013-10-03,-0.043138795834117664
2013-10-04,0.04330464078606831
2013-10-07,0.011482097498202322
2013-10-08,-0.04662664539234649
2013-10-09,-0.03464590392207252
2013-10-10,0.024290877433250018
2013-10-11,0.03282143279747155
2013-10-14,0.005691648852124059
2013-10-15,0.023209582448228756
2013-10-16,-0.0020680337607970633
2013-10-17,-0.0041488639492924285
2013-10-18,0.0032768974741072426
2013-10-21,-0.049525178569087704
2013-10-22,-0.006160355315946997
2013-10-23,-0.04190584763619934
2013-10-24,0.05103372909512395
2013-10-25,-0.020361779407382357
2013-10-28,-0.04090554498744465
2013-10-29,0.00983732014212902
2013-10-30,-0.03244132306525063
2013-10-31,0.0045118826109646955
2013-11-01,0.013846307487505096
2013-11-04,0.05103372909512395
2013-11-05,0.009147437313759407
2013-11-06,-0.049525178569087704
2013-11-07,-0.049525178569087704
2013-11-08,-0.013106891108583688
2013-11-11,0.04777131294405201
2013-11-12,-0.04885917612563874
2013-11-13,0.006509910436590075
2013-11-14,-0.007962445969614821
2013-11-15,-0.01574836851942719
2013-11-18,-0.049525178569087704
2013-11-19,0.03642347232911233
2013-11-20,-0.040296686077327004
2013-11-21,0.008141155349059485
2013-11-22,-0.005914301943359735
2013-11-25,-0.00445879513751007
2013-11-26,-0.0028176365968004403
2013-11-27,0.05103372909512395
2013-11-29,0.002674768677985447
2013-12-02,-0.024737817234624784
2013-12-03,0.05103372909512395
2013-12-04,-0.04054846432207193
2013-12-05,0.010950897136886533
2013-12-06,-0.022459830920047427
2013-12-09,0.030400915776032086
2013-12-10,0.004158011406234101
2013-12-11,-0.018024810752135134
2013-12-12,0.05103372909512395
2013-12-13,0.001219851474432818
2013-12-16,0.001962229300530799
2013-12-17,0.030095394575802684
2013-12-18,-0.029825167510429598
2013-12-19,-0.049525178569087704
2013-12-20,0.01774936796879827
2013-12-23,0.002161904382585577
2013-12-24,0.05103372909512395
2013-12-26,0.026654368469938745
2013-12-27,-0.02857148989568364
2013-12-30,0.008696881824111947
2013-12-31,-0.013273197999344366
2014-01-02,-0.0021961521582764226
2014-01-03,-0.003604113611816534
2014-01-06,-0.017265065802709954
2014-01-07,0.015926820457572245
2014-01-08,0.012772951757781427
2014-01-09,-0.02510088058726987
2014-01-10,-0.01234445845105059
2014-01-13,-0.04477004872146161
2014-01-14,0.05103372909512395
2014-01-15,0.017578862300124946
2014-01-16,0.04082924946078827
2014-01-17,-0.0056308552259701624
2014-01-21,0.03848302668978481
2014-01-22,0.01058444967802887
2014-01-23,0.01633098232470702
