Date,META
2013-05-23,-0.003982591451934543
2013-05-24,-0.03038517900131989
2013-05-28,-0.008675717324120393
2013-05-29,-0.03290071510721742
2013-05-30,0.05103372909512395
2013-05-31,-0.008179993315285057
2013-06-03,-0.020747643099250524
2013-06-04,-0.013933176822320597
2013-06-05,-0.02671405141872412
2013-06-06,0.0030520807844209167
2013-06-07,0.01383496499283561
2013-06-10,0.04368609454073532
2013-06-11,-0.012407050128694364
2013-06-12,-0.010878793238953811
2013-06-13,-0.0016841277042461667
2013-06-14,-0.00422317603999928
2013-06-17,0.01636984450276935
2013-06-18,0.007878923507894011
2013-06-19,0.004121972281692324
2013-06-20,-0.017009326781150365
2013-06-21,0.026018502216993703
2013-06-24,-0.02434618307514714
2013-06-25,0.01286595867406863
2013-06-26,-0.0037182587950167537
2013-06-27,0.020484056768022573
2013-06-28,0.008881796659546947
2013-07-01,-0.0028176016161904354
2013-07-02,-0.01625389270117428
2013-07-03,0.004496357899049555
2013-07-05,-0.00613637256984767
2013-07-08,0.013855251253474414
2013-07-09,0.03068578787329101
2013-07-10,0.012480570024396495
2013-07-11,0.0003876142569798404
2013-07-12,0.003866938572107761
2013-07-15,0.014179271814111095
2013-07-16,0.001520764903270729
2013-07-17,0.012460190831697537
2013-07-18,-0.017793420222001363
2013-07-19,-0.011525238051821842
2013-07-22,0.006547307789675126
2013-07-23,0.003066306991316072
2013-07-24,0.014437956698489315
2013-07-25,0.05103372909512395
2013-07-26,-0.010238695331239807
2013-07-29,0.04090435304918686
2013-07-30,0.05103372909512395
2013-07-31,-0.022303818772680305
2013-08-01,0.018576578174672693
2013-08-02,0.014826629024188197
2013-08-05,0.029520611814448025
2013-08-06,-0.016465488829047407
2013-08-07,0.0082664355822194
2013-08-08,-0.008525735297197887
2013-08-09,-0.0010386692974651566
2013-08-12,-0.007299242592255551
2013-08-13,-0.03190058690719621
2013-08-14,-0.01004487751139346
2013-08-15,-0.0024587438490940748
2013-08-16,0.014123130239773754
2013-08-19,0.019495708646207328
2013-08-20,0.015744253605988252
2013-08-21,-0.002345948658798413
2013-08-22,0.005984276039212038
2013-08-23,0.05057960996068905
2013-08-26,0.019294782507326996
2013-08-27,-0.04199181026772258
2013-08-28,0.022697027760395432
2013-08-29,0.01784246764248784
2013-08-30,0.00024218350534476802
2013-09-03,0.013949242930435457
2013-09-04,-0.002151786317586356
2013-09-05,0.02084374617570436
2013-09-06,0.02979110270111729
2013-09-09,0.0020455648763748986
2013-09-10,-0.010041191883072176
2013-09-11,0.032493876476300664
2013-09-12,-0.006459540995837856
2013-09-13,-0.00988108929963773
2013-09-16,-0.04147103159269691
2013-09-17,0.05103372909512395
2013-09-18,0.0035435719836811033
2013-09-19,0.01644607177248576
2013-09-20,0.03231262907607783
2013-09-23,-0.0063370463546810005
2013-09-24,0.02635019470615881
2013-09-25,0.02063198335576393
2013-09-26,0.018628463982255553
2013-09-27,0.016727795388092118
2013-09-30,-0.019907999447577224
2013-10-01,0.003775220528704579
2013-10-02,-0.0027804391723401244
2013-10-03,-0.02212021949906146
2013-10-04,0.037122492521770696
2013-10-07,-0.010240289634609373
2013-10-08,-0.049525178569087704
2013-10-09,-0.007879925561283033
2013-10-10,0.047598270138500744
2013-10-11,0.0012223946604706297
2013-10-14,0.008112056506501646
2013-10-15,-0.00020204798886773944
2013-10-16,0.03259429616426753
2013-10-17,0.020707188866814403
2013-10-18,0.037775788770491925
2013-10-21,-0.006847439771399505
2013-10-22,-0.02196657762716458
2013-10-23,-0.014917121911418337
2013-10-24,0.01054163152590458
2013-10-25,-0.009578474532043902
2013-10-28,-0.03366932159010603
2013-10-29,-0.01666207667787245
2013-10-30,-0.007926239832239869
2013-10-31,0.024189897387266568
2013-11-01,-0.00920371505035509
2013-11-04,-0.03123651846942901
2013-11-05,0.03844674909982472
2013-11-06,-0.01995442250577495
2013-11-07,-0.03227396668842614
2013-11-08,-0.0006312123696639244
2013-11-11,-0.028381264274499832
2013-11-12,0.008835351706083865
2013-11-13,0.04406919633616195
2013-11-14,0.005731800833551789
2013-11-15,0.00040810399526047884
2013-11-18,-0.049525178569087704
2013-11-19,0.01149803182986794
2013-11-20,0.0015088952922493952
2013-11-21,0.005798344304118447
2013-11-22,-0.010115243812926085
2013-11-25,-0.03097443756240931
2013-11-26,0.023592800771329574
2013-11-27,0.012989947530166324
2013-11-29,0.011123134974383728
2013-12-02,0.0010631285326246345
2013-12-03,-0.007037231682451245
2013-12-04,0.03964865109816093
2013-12-05,-0.005775546253307997
2013-12-06,-0.008309134841010637
2013-12-09,0.018599335845674147
2013-12-10,0.028460947242001024
2013-12-11,-0.017464990723414058
2013-12-12,0.04842373859494305
2013-12-13,0.02834218597396489
2013-12-16,0.009147860644716191
2013-12-17,0.01932517962584728
2013-12-18,0.012858871889172504
2013-12-19,-0.009401507714334121
2013-12-20,0.0012707182779201482
2013-12-23,0.046957030362079696
2013-12-24,0.0032834286677482366
2013-12-26,-0.003976035195814373
2013-12-27,-0.040475703294374124
2013-12-30,-0.03170218898959626
2013-12-31,0.01735018187354145
2014-01-02,0.0010972041700579387
2014-01-03,-0.002745376487249091
2014-01-06,0.04725274956498647
2014-01-07,0.012508833008979956
2014-01-08,0.005337955433798261
2014-01-09,-0.017497115827913023
2014-01-10,0.012504553250778472
2014-01-13,-0.03566481250469521
2014-01-14,0.032206966266687405
2014-01-15,-0.002427652995558402
2014-01-16,-0.007143675915182936
2014-01-17,-0.015684341372812997
2014-01-21,0.038503099422458276
2014-01-22,-0.01723891037314185
