Date,AAPL_rsi14,AAPL_macd,AAPL_macd_signal,AAPL_macd_hist,AAPL_bb_upper,AAPL_bb_middle,AAPL_bb_lower,AAPL_bb_position,AAPL_bb_width,AAPL_stochastic,AAPL_mom_5,AAPL_mom_10,AAPL_mom_20,AAPL_mom_60,AAPL_mom_120,AAPL_roc_10,AAPL_roc_20,AAPL_mom_acceleration,AAPL_vol_5,AAPL_vol_10,AAPL_vol_20,AAPL_vol_60,AAPL_vol_parkinson,AAPL_volvol_20,AAPL_downside_vol_20,AAPL_vol_asymmetry,AAPL_dd_20,AAPL_dd_60,AAPL_dd_120,AAPL_dd_252,AAPL_days_since_high_60,AAPL_days_since_high_120,AAPL_sharpe_20,AAPL_sharpe_60,AAPL_sortino_20,AAPL_sortino_60,AAPL_calmar,AAPL_ma_5_20_cross,AAPL_ma_10_50_cross,AAPL_ma_20_60_cross,AAPL_ma_50_200_cross,AAPL_adx_14,AAPL_adx_28,AAPL_trend_slope_20,AAPL_trend_slope_60,AAPL_skew_20,AAPL_skew_60,AAPL_kurt_20,AAPL_kurt_60,AAPL_autocorr_1,AAPL_autocorr_5,AAPL_autocorr_10,AAPL_mkt_corr_20,AAPL_mkt_corr_60,AAPL_mkt_corr_120,AAPL_beta_60,AAPL_beta_120,AAPL_rel_strength_20,AAPL_rel_strength_60,AAPL_rel_vol,ew_value,ew_vol_5,ew_vol_20,ew_vol_60,ew_ret_5,ew_ret_20,ew_ret_60,ew_dd_60,ew_dd_120,ew_dd_252,ew_sharpe_20,ew_sharpe_60,avg_correlation_60,regime_0,regime_1,regime_2
2013-05-23,-0.38270560110861435,-0.16315510311412898,-0.07716735927980263,-0.2314093875970118,-1.6485797712142145,-1.6577565066651514,-1.6558066691568343,-0.20088729830349478,0.6866945976350026,-0.45544817045255803,0.7406921979534882,-1.1627350366966185,1.1470652012798128,-0.7193134623199174,-2.210879271233866,-1.1627350366966187,1.1470652012798137,0.47739080218971774,-0.01108414507720402,0.746026563700611,0.9644270405567646,1.3587431615194339,1.3467578079472466,-0.5075022403699815,0.5884876269861845,-0.2134576134596295,-0.33797866881728905,0.12315462504484756,-2.777100130963591,-2.4913665279013575,-1.0000140679321121,-1.0000140679321121,0.709525529638034,-0.7363990159506801,0.15203906415322252,-0.6164965493495203,-0.029419389544279192,-0.4626987040655639,0.052695773101406,-0.014629777245683399,-2.5915378972186827,0.1978236762328015,-1.2742148315291404,0.01665686690570345,-0.454412731991619,-0.6967432749348067,-0.6257848759226249,-0.5018259540185608,-0.8050082719207844,1.428010694565842,0.14988428963953218,-0.32866493174195,-2.318012822191598,-0.9689966486614612,-0.49787524168797453,-0.3920139268314732,0.5860535366235425,0.5733700463380957,-1.6584500315612614,1.1736112369367016,-1.492783799018347,-0.02312571137857357,-0.3327414712972917,-0.5241804767464853,-0.6171078707282409,1.6801215161727605,1.580779909240766,0.24910573670324576,0.2577788874146253,0.2577788874146253,1.7056290703893593,1.6721340814120738,-1.117999985633911,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-05-24,-0.5166581990894996,-0.1718988746222197,-0.09623524870996364,-0.20824124982114442,-1.663503983318779,-1.6495086781543633,-1.623027842491692,-0.12100417298757404,0.16335171284637515,-0.25232306751870626,0.37574942098232517,-0.9384182101981552,1.0564580400303862,-0.605282466952802,-2.2548271256523753,-0.9384182101981551,1.0564580400303856,0.4788316498137376,-0.12307346018627748,0.7499943576912357,0.9642455759225176,1.3434669579957867,1.2635397062358842,-0.4271939929049093,0.5884876269861845,-0.20328010515283015,-0.1550857259301067,0.24737931070292002,-2.633275522699651,-2.4501624855969424,-0.9970653127340983,-0.9970653127340983,0.6444883589439869,-0.6461643952801779,0.11832511969858296,-0.5673901042260173,-0.029419577861099663,-0.4872723906027092,-0.039099120010193264,0.08953075700941189,-2.570916156324481,0.10893067954592901,-1.2394815029054738,-0.17515387783495892,-0.43402250154260713,-0.6360121196963913,-0.6653447941955468,-0.5172738950416985,-0.7893809112453921,1.407221469546988,0.10956078856047262,-0.33904865713341853,-2.292356698530264,-0.8547910703449599,-0.5156283964574604,-0.20890656860788653,0.5521444046136641,0.602299634457308,-1.3657015050223547,1.0993837045408892,-1.4925021879765383,0.007113560320101775,-0.34736889193503045,-0.5564435797127625,-0.35787953501834474,1.533027963187018,1.4324380786082234,0.25289730891890416,0.261568400986779,0.261568400986779,1.5586584523235403,1.5366398048485448,-1.2167117833754433,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-05-28,-0.8447440846683097,-0.1625062036977601,-0.113357920305287,-0.14354982623008275,-1.6747142846268783,-1.6425626066482135,-1.5968640006082313,-0.44673953379415776,-0.24382043897748282,-0.5026874459011202,0.6877454808543386,-0.6123984917407467,0.8136390605472145,-0.4669220591054325,-2.1888328307326335,-0.6123984917407462,0.8136390605472158,0.20773566339381946,-0.21165832101214024,0.782786235126876,0.8547985105912148,1.341495706554835,1.0382863713890205,-0.31404882714920995,0.5884876269861845,-0.23303474484509154,-0.38051270317275393,0.09426462544089029,-2.73230430411241,-2.500949041711314,-0.9941165575360844,-0.9941165575360844,0.49206096494973356,-0.5379284054455138,0.027068791290739882,-0.5089227559835764,-0.029419517081879443,-0.4176665868273541,-0.09494869854596795,0.17112299339916237,-2.5503767891131783,0.06695086369880411,-1.2005436892538117,-0.321661114761417,-0.4139187836340696,-0.5807410074823567,-0.7108991861576537,-0.4171119417769011,-0.7802693329691753,1.36354527878272,0.13029593285995825,-0.33142671572800136,-2.167924322648891,-0.8840887138171273,-0.5264440808315004,-0.24489829390202378,0.5367855306454754,0.31586023338193214,-1.2242931316570393,1.0201736765416372,-1.4742890351336708,-0.5973723135171429,-0.40102083294909396,-0.5594725033124757,-0.8603473369615224,1.643750311115237,1.4534364144731409,0.4981166860962261,0.506654635697246,0.506654635697246,1.7244959080949411,1.5612779907731287,-1.2295274150092315,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-05-29,-0.8984540113859792,-0.18153629803444396,-0.1250490413742902,-0.16413210367627717,-1.6787396802073082,-1.6393607447331964,-1.5860154658235186,-0.2564792491508442,-0.4051801125970924,-0.26581670205602353,-0.26894059938999715,-0.8769952676854637,0.183512527053823,-0.29856317813410144,-2.2366121131664403,-0.8769952676854633,0.18351252705382218,-0.8493834459762307,-0.8140612635713947,0.7809290526300147,0.5997695800763808,1.2477533315790679,0.6964767720418121,-0.11871457873663857,0.5745320815037124,-0.32646786846476444,-0.16723533469401103,0.23912704407229568,-2.4253469812752346,-2.452899677013884,-0.9911678023380706,-0.9911678023380706,0.03730442646355251,-0.4033992721268673,-0.2151085363509749,-0.4347427702299656,-0.029419644844220164,-0.49933390445996395,-0.16335351820998725,0.19816975793333777,-2.535758900656585,-0.08511556871867025,-1.1542776886735466,-0.43111295819961803,-0.41035772042389596,-0.571293819744015,-0.7322527705575788,-0.34547829016289344,-0.7318821354965525,1.114574959362673,0.0772285622238655,-0.01736641125796118,-2.58088095136257,-0.8555944855864493,-0.5287719153911801,-0.25393395848307426,0.5408833390155942,-0.37054392519006785,-1.067372684796877,0.8071674803608073,-1.5017393620192827,-0.2437995307598221,-0.5227213188082195,-0.5509798925750006,-0.4983581349548467,1.4448985660061022,1.5858530163894577,0.1285292719742563,0.13726788997514397,0.13726788997514397,1.6054497089341602,1.697109481131703,-1.2293627812998753,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-05-30,-0.9777397023730813,-0.17692844480156333,-0.1384682691024146,-0.12043978258619736,-1.678314745777733,-1.6382107780100401,-1.5841042344642782,0.21915180643101434,-0.4214540529137118,0.40247486072725597,0.20917020868165545,-0.17697948567157346,-0.1482801558323237,0.036358743285493954,-2.1117962126253174,-0.17697948567157332,-0.1482801558323242,-0.5415560120362367,-0.8679682641650641,0.4936036328840258,0.2935999204239168,1.1488714065634553,0.3707321640587497,0.14701906046026622,0.5745320815037124,-0.45273337311008066,0.23562927301559436,0.5127610534848903,-1.6457786453599705,-2.362138108650594,-0.9882190471400567,-0.9882190471400567,-0.22875701808818158,-0.13792749448689998,-0.347748772017498,-0.28838670265021815,-0.02941959416847312,-0.4337328466799539,-0.14979397279500872,0.1855851149133531,-2.525023382274963,-0.3000823769050595,-1.0953859173393978,-0.45913600509721925,-0.41515483646344686,-0.8824753117958426,-0.8078627182217434,-0.1863358745014571,-0.6644875420613638,1.408603000345707,0.18186446709844892,0.24515505860440048,-2.7717082697895283,-0.8064072787825048,-0.5796770578058847,-0.254348620955548,0.4432579593470179,-0.584362896389019,-0.5576297297472468,0.3629340564039975,-1.4775545299552117,0.02579535785422933,-0.42177174299530884,-0.47414192687479395,-0.8629745775004815,0.8108658926808143,1.299022577303171,0.45415051432890136,0.46271233547153695,0.46271233547153695,0.815045658949562,1.3407048851882293,-1.168883722791585,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-05-31,-0.5411347570548259,-0.13410844977379616,-0.14821904997252677,0.011763274347136251,-1.6762115233350638,-1.6347757919789685,-1.57928025750003,0.029145419096624017,-0.4514614828802426,0.38605144186255724,0.5553258910941024,0.9391182419413299,0.20920243627219562,-0.08126981047223245,-1.6953462652224798,0.9391182419413285,0.2092024362721953,-0.5454672678923904,-0.5400951957439989,-0.5408247939737596,0.3388572150962878,1.0756409747482878,0.4769630680044558,0.31345454307377807,0.5910345331706804,-0.4474229927971914,0.12322222011274378,0.4364118483588048,-1.698500593984023,-2.3874623496519582,-0.985270291942043,-0.985270291942043,0.09289483811499208,-0.22210519188089053,-0.2062415749183268,-0.33796733162256076,-0.029419513250413427,-0.32880882033665026,-0.03416015883557771,0.2062354287494124,-2.5112465885622814,-0.6072476532033336,-1.039857329543982,-0.47558406766952527,-0.40131301249256907,-1.0815679410221912,-0.846868067008549,-0.14072170994264063,-0.640767859247381,1.6329922405055042,0.416036209618667,0.0025752524878205106,-3.0364836167230917,-0.891323539270081,-0.5005154649026736,-0.3678818590009241,0.46890668562273513,-0.40544181933475515,-0.6284832330299703,0.6904925123865109,-1.5043880082631584,-0.14458242467709298,-0.41545299098729754,-0.49590477239842035,0.19622336677835303,1.1629807533666265,1.2513439632131225,0.09286826435576291,0.10162624458886697,0.10162624458886697,1.20292659782661,1.3041521556918894,-1.2759493332370127,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-06-03,-0.46905865276582615,-0.11550200929981602,-0.14686994242456122,0.0559026676284938,-1.6746158830008735,-1.633160049034696,-1.577654574125741,0.0769769293641273,-0.4521060581558352,0.46847177632161124,0.36862439855830165,0.5385616863999759,-0.0778074542578935,0.009294111077914256,-1.7991943207787047,0.538561686399977,-0.07780745425789232,-1.48861707231657,-0.40969119527506415,-0.5515952007206407,0.2798053257203759,1.0475897925380928,0.32285540217026976,0.4480903094160025,0.5694635367643945,-0.44831300998319207,0.18337630828040977,0.47726975449619896,-1.670286699357292,-2.373910205132238,-0.9823215367440291,-0.9823215367440291,-0.16254468380702877,-0.14870829430761467,-0.31915457060563485,-0.2987716441372249,-0.02941959824958624,-0.23444618601513556,0.04231873558660702,0.20033054507657388,-2.496956061205355,-0.8982025307850098,-0.9729786542101891,-0.47468002353876787,-0.39649159876094403,-0.9318123291254838,-0.8770598491223709,-0.1304437403079109,-0.6134390594336312,1.6692570974982006,0.40921606567195223,-0.06400971193117477,-2.924585413323446,-0.8937437099006041,-0.5351862425714685,-0.4772825760036443,0.3409088938893233,-0.30806850425620924,-0.3381138553392692,0.17153148403855895,-1.5088294053217528,0.23763131431695306,-0.4858884867125763,-0.42486299467824856,-0.4124029495495567,0.41770972931422223,1.065994108780637,0.033069907097032454,0.041860354995991264,0.041860354995991264,0.4015789413771707,1.0686597474711506,-1.313893430261176,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-06-04,-0.5020058226697061,-0.09810666087404202,-0.14181485143241718,0.08813197520219775,-1.6733119035908095,-1.6323229551506233,-1.5773188204023323,-0.04525283069571542,-0.44186802707878775,0.5878962179828711,0.22410514894610145,0.6586301123071665,-0.19872096457786398,-0.08756353379507192,-1.650206270765049,0.6586301123071671,-0.19872096457786495,-1.6208456823648776,-0.43908021387849083,-0.5986305120088687,0.2423303740560596,1.029297754749401,0.20296190295247096,0.5554127811280549,0.5694635367643945,-0.4496686169563516,0.09769915128955216,0.41907604987725205,-1.7104716037069396,-2.393212454554464,-0.9793727815460153,-0.9793727815460153,-0.2738448037088379,-0.22304124407819667,-0.36806458311457496,-0.33979429247512555,-0.029419632620114197,-0.15902136930926072,0.13019275892157034,0.18841875088527824,-2.481851030632169,-1.1839466707008368,-0.900317015545132,-0.44751096927688877,-0.3860701991175101,-0.870000759261245,-0.8551004696883299,-0.0887406732625291,-0.6064649741473133,1.6631154918312017,0.37941531718177807,-0.07546203350510497,-3.165412570133143,-0.8960005909616129,-0.4982490290723609,-0.4940050300820167,0.36186180687221603,-0.3639952047984064,-0.4927411920277094,0.2584454261163293,-1.5117415858878098,0.23481956721456584,-0.5695660301397696,-0.45040905198886966,-0.5007397011323369,0.09479676352823224,0.8519898433331292,-0.00613929027793339,0.002672446351638796,0.002672446351638796,0.0545094942206493,0.8596413145838476,-1.4057803675086287,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-06-05,-0.0844233712447976,-0.09704626051689709,-0.134053758581024,0.07234327800775295,-1.6784222233844817,-1.6342172691201604,-1.5757870951160602,-0.33294319005089834,-0.5129225278424823,0.1896089575033086,0.3891639059243353,0.0868570458965909,-0.6075279528084715,-0.14732246802881577,-1.6323215164011948,0.08685704589659109,-0.6075279528084714,-2.044383402526674,-0.6461485215731017,-1.026978521311181,-0.01551524261197737,1.031634125074621,-0.11263827358055653,0.6767827059065341,0.549185678113018,-0.5417829562950478,-0.15750883800025486,0.24573348265468242,-1.8301710545182133,-2.4507083897235344,-0.9764240263480014,-0.9764240263480014,-0.6880445295475687,-0.27057219849831404,-0.5371668906718615,-0.364785761380127,-0.029419625773439522,0.0030063184141353,0.17267280437863716,0.1445462273416477,-2.4708516735671204,-1.3996698523715951,-0.8366073710625889,-0.36928865267551125,-0.3767594140145002,-1.0517631659723985,-0.8337729520706627,0.12317428042658632,-0.6129391161869634,1.6599277898517464,0.3816130893644762,-0.1318874677096442,-3.3080212828022995,-0.8896468494085753,-0.5005713264352634,-0.4940104790573646,0.34767800350479094,-0.7021588443091694,-0.45364678878684245,-0.006701056921006783,-1.5430048162005108,-0.03954194519103481,-0.5880148984141178,-0.45172395197677456,-0.894680231500126,-0.07783740850357905,0.8602266614122479,-0.42706311011145975,-0.41802283185366973,-0.41802283185366973,-0.14567109426148894,0.8688938794276422,-1.4201598870686267,-1.1239029738980326,-0.27386127875258304,1.2990381056766578
2013-06-06,0.5945809131374776,-0.12645206472627069,-0.12761829904848462,-0.017823611622561186,-1.6834610598361437,-1.6366011993884402,-1.5753369483677955,-0.8358257673825483,-0.5716282821333586,-0.7405064423263719,-0.15330620841329837,0.04251574773896325,-0.6818598195748856,-0.3872511062391954,-1.7969904469149194,0.042515747738963744,-0.6818598195748853,-1.6863812741625765,-0.44714182489127324,-0.9722797954154573,0.012213596083897174,1.0181329892532378,-0.036456999278132916,0.7105186894404949,0.5621669788799942,-0.5441993021929433,-0.5615859475341889,-0.02872408318173761,-2.0196941499009897,-2.5417431232274534,-0.9734752711499877,-0.9734752711499877,-0.763125867624283,-0.46279825651311157,-0.5677701810798846,-0.46863233124499387,-0.02941953863297666,0.048777930656645006,0.21659788251489404,0.10460590649269003,-2.461987120458532,-1.3100683132224735,-0.807217137676791,-0.3195525415576023,-0.36589457256751606,-0.9713589688914496,-0.7684265918706985,0.020851396288593487,-0.6205987818757956,1.8479170691220008,0.22179696361066414,-0.12316589001759022,-2.851123795514806,-0.8639485828670744,-0.5240472892525629,-0.5422842172469196,0.24643952773814215,-0.45414712455278666,-0.5205637148966608,-0.24723229389930484,-1.5307817911171098,0.054764218818445266,-0.4865768296583397,-0.36251472416131303,-0.9725715775533244,-0.18124380996016032,0.574170253853982,-0.262493986685466,-0.2535430616399437,-0.2535430616399437,-0.281953311782177,0.5332373796060803,-1.355595999255415,-1.1239029738980326,-0.27386127875258304,1.2990381056766578
