Date,EFA
2011-01-04,-0.003070919324464593
2011-01-05,-0.0042812813294451
2011-01-06,-0.011565101705551459
2011-01-07,-0.004000810867883978
2011-01-10,-0.0017449979128679074
2011-01-11,0.006787093574403741
2011-01-12,0.02178665702429401
2011-01-13,0.002711258047197782
2011-01-14,0.006074156475124995
2011-01-18,0.006538727950974571
2011-01-19,-0.006875319532286177
2011-01-20,-0.008618589633194123
2011-01-21,0.005416400303202321
2011-01-24,0.01057860035355314
2011-01-25,-0.002006465884277322
2011-01-26,0.00633985065836316
2011-01-27,0.0023254183522701736
2011-01-28,-0.022484037090928916
2011-01-31,0.00861703377927097
2011-02-01,0.022905416265258074
2011-02-02,-0.0008222215485715255
2011-02-03,0.00016461465988354537
2011-02-04,-0.00032896568302855864
2011-02-07,0.003120668358471557
2011-02-08,0.006538278314200063
2011-02-09,-0.0029371191056279744
2011-02-10,-0.006557476543898609
2011-02-11,0.0004935690093918447
2011-02-14,0.001970586973471562
2011-02-15,-0.002957387053199425
2011-02-16,0.011940773206519649
2011-02-17,0.0034088637178084718
2011-02-18,0.0033971876880040217
2011-02-22,-0.025208777652977004
2011-02-23,0.0013291005188474192
2011-02-24,0.000829803879232182
2011-02-25,0.011873373007275288
2011-02-28,0.008975767681777179
2011-03-01,-0.014070733478068389
2011-03-02,0.005258654495902731
2011-03-03,0.012703982354920096
2011-03-04,-0.009104397532593175
2011-03-07,-0.00968224085300845
2011-03-08,0.00312827814669162
2011-03-09,0.0003286525391797574
2011-03-10,-0.02512798181235784
2011-03-11,0.0
2011-03-14,-0.018024933525556903
2011-03-15,-0.021155690708948464
2011-03-16,-0.025208777652977004
2011-03-17,0.022905416265258074
2011-03-18,0.013733471608193274
2011-03-21,0.022905416265258074
2011-03-22,-0.0028684842985564492
2011-03-23,0.0011822483862563384
2011-03-24,0.013244925837509232
2011-03-25,-0.01105346240751907
2011-03-28,-0.0005052275176902456
2011-03-29,0.0052096009946458
2011-03-30,0.011830045315794641
2011-03-31,-0.004814918587930076
2011-04-01,0.00944271427077432
2011-04-04,0.0013180537582695806
2011-04-05,-0.002472996431830485
2011-04-06,0.008219648639951626
2011-04-07,-0.004923580317510028
2011-04-08,0.008192711212292899
2011-04-11,-0.0019602535879079674
2011-04-12,-0.009363605241611256
2011-04-13,0.0029667425378633225
2011-04-14,0.004432952005488311
2011-04-15,-0.0014755649522889293
2011-04-18,-0.02072176874197348
2011-04-19,0.007343368441421414
2011-04-20,0.022905416265258074
2011-04-21,0.006464980538612531
2011-04-25,0.0
2011-04-26,0.007703602569240778
2011-04-27,0.012392948595025226
2011-04-28,0.006766936040076155
2011-04-29,-0.004716232776664663
2011-05-02,0.0064399233072025535
2011-05-03,-0.008174945751247843
2011-05-04,-0.008560620635476994
2011-05-05,-0.019939532345987894
2011-05-06,0.00048730221889946534
2011-05-09,0.007117292092098843
2011-05-10,0.009465254108525266
2011-05-11,-0.02032355658599576
2011-05-12,0.0032537081664721864
2011-05-13,-0.015714462160564165
2011-05-16,-0.001816875017395055
2011-05-17,0.002146428722932093
2011-05-18,0.006084140653155698
2011-05-19,0.005721192221762801
2011-05-20,-0.01428231577288441
2011-05-23,-0.023420295906013175
2011-05-24,0.005738235020099212
2011-05-25,0.006374948596496459
2011-05-26,0.009320708532349151
2011-05-27,0.00726326911442003
2011-05-31,0.020512148841983747
2011-06-01,-0.023972122450183094
2011-06-02,0.005103741212434413
2011-06-03,0.0004922751110632499
2011-06-06,-0.013050287032986944
2011-06-07,0.00910353671516769
2011-06-08,-0.012935441872318194
2011-06-09,0.010295659430120832
2011-06-10,-0.023400721814817425
2011-06-13,0.001521047149423945
2011-06-14,0.017574890049670045
2011-06-15,-0.025208777652977004
2011-06-16,-0.0034372112656751476
2011-06-17,0.009764821983474746
2011-06-20,-0.0011943476074482635
2011-06-21,0.02144471682118664
2011-06-22,-0.009737561441313243
2011-06-23,-0.008635688275737562
2011-06-24,-0.009586091605877575
2011-06-27,0.008197454600631395
2011-06-28,0.011914071172552488
2011-06-29,0.017356557258878517
2011-06-30,0.014402863261264928
2011-07-01,0.010914644949550285
2011-07-05,-0.005938652385353394
2011-07-06,-0.006307000884442088
2011-07-07,0.008620817790881781
2011-07-08,-0.01245787173920427
2011-07-11,-0.025208777652977004
2011-07-12,-0.006744496756290258
2011-07-13,0.014812490339193966
2011-07-14,-0.008757892451010125
2011-07-15,0.0034435525987635794
2011-07-18,-0.014892009106388849
2011-07-19,0.014892009106388852
2011-07-20,0.01179028380821544
2011-07-21,0.021010977979320528
2011-07-22,0.0009971861233532121
2011-07-25,-0.0063343365050173165
2011-07-26,0.006001827461924287
2011-07-27,-0.024567884729999295
2011-07-28,-0.002387813974369391
2011-07-29,0.0025582174169904823
2011-08-01,-0.012684359910005919
2011-08-02,-0.025208777652977004
2011-08-03,0.005829805300581548
2011-08-04,-0.025208777652977004
2011-08-05,0.017457019913356638
2011-08-08,-0.025208777652977004
2011-08-09,0.022905416265258074
2011-08-10,-0.025208777652977004
2011-08-11,0.022905416265258074
2011-09-08,-0.01999667274802993
2011-09-09,-0.025208777652977004
2011-09-12,-0.0043167396150252365
2011-09-13,0.010655692877048007
2011-09-14,0.01497085474844745
2011-09-15,0.021454936643407654
2011-09-16,0.0003931433221555054
2011-09-19,-0.025208777652977004
2011-09-20,0.004032055870781721
2011-09-21,-0.025208777652977004
2011-09-22,-0.025208777652977004
2011-09-23,0.011294234370555212
2011-09-26,0.02034707639924213
2011-09-27,0.022905416265258074
2011-09-28,-0.0171678456984487
