Date,MSFT
2013-05-23,-0.01337995499185105
2013-05-24,0.003507686586866853
2013-05-28,0.02164882175746155
2013-05-29,-0.004005266100989456
2013-05-30,0.004290910088429172
2013-05-31,-0.0037179466202010045
2013-06-03,0.019577963067734624
2013-06-04,-0.017002415620439384
2013-06-05,-0.00602000670898347
2013-06-06,0.005162316695585799
2013-06-07,0.020105343027542633
2013-06-10,-0.005622541037738152
2013-06-11,-0.017921472970671776
2013-06-12,0.004582116485029627
2013-06-13,-0.008031980894053966
2013-06-14,-0.009259607274086451
2013-06-17,0.01729158816814047
2013-06-18,-0.0005713259216372478
2013-06-19,-0.011211926107975946
2013-06-20,-0.032318122056678215
2013-06-21,-0.0065907367960889
2013-06-24,0.01343513192884149
2013-06-25,-0.001484179132784667
2013-06-26,0.01999529376604009
2013-06-27,0.007829203191611397
2013-06-28,-0.0023134804628202553
2013-07-01,-0.0052248476095312696
2013-07-02,-0.012298785383744725
2013-07-03,0.002060136140342141
2013-07-05,0.005863613349313881
2013-07-08,0.0035016809560594487
2013-07-09,0.0005824798187694079
2013-07-10,0.010137276590850064
2013-07-11,0.02813076272052622
2013-07-12,-0.0005602774677122516
2013-07-15,0.013919807613350812
2013-07-16,0.00276136196782486
2013-07-17,-0.01472046073048504
2013-07-18,-0.008429788855052349
2013-07-19,-0.049525178569087704
2013-07-22,0.019240416508805834
2013-07-23,-0.005953266902513655
2013-07-24,0.004390250383110224
2013-07-25,-0.017995848211603174
2013-07-26,0.007300692510346716
2013-07-29,-0.002533549072475591
2013-07-30,0.009780668403708953
2013-07-31,-0.0003137285031887061
2013-08-01,-0.005353654813157995
2013-08-02,0.006922996365500653
2013-08-05,-0.0059760274692087475
2013-08-06,-0.0037927509531358815
2013-08-07,0.015085086607379193
2013-08-08,0.02555940789693019
2013-08-09,-0.005793448694745297
2013-08-12,0.005185175220536078
2013-08-13,-0.012640383088143836
2013-08-14,0.0037159351647442175
2013-08-15,-0.01746244121148542
2013-08-16,0.00031486439964115224
2013-08-19,-0.012976969402859176
2013-08-20,0.0073006323374619365
2013-08-21,-0.0003167303200437675
2013-08-22,0.024376727683602467
2013-08-23,0.05103372909512395
2013-08-26,-0.01741710876694563
2013-08-27,-0.026406970560323487
2013-08-28,-0.007242113984599575
2013-08-29,0.01592344190360885
2013-08-30,-0.004480474879385115
2013-09-03,-0.04657754204444402
2013-09-04,-0.021560996640068584
2013-09-05,0.0009613282280932607
2013-09-06,-0.0025648796549707616
2013-09-09,0.016239636284210133
2013-09-10,0.02279598052716709
2013-09-11,0.010747617186607772
2013-09-12,-0.0015283502113225373
2013-09-13,0.010346885726608123
2013-09-16,-0.0069876073826962
2013-09-17,0.003955606625299405
2013-09-18,0.011773588040169009
2013-09-19,0.009557985237973785
2013-09-20,-0.02559223139675523
2013-09-23,-0.0015258766392767565
2013-09-24,-0.00889720863325787
2013-09-25,0.0018474183605316369
2013-09-26,0.007965920770155939
2013-09-27,0.01514233544810311
2013-09-30,0.00030044222174275214
2013-10-01,0.008974307011000361
2013-10-02,0.010074028474525933
2013-10-03,-0.0017705561925142914
2013-10-04,0.0005906705212035666
2013-10-07,-0.017267836031793406
2013-10-08,-0.008746441079288418
2013-10-09,0.0018156155311648589
2013-10-10,0.02065021705078534
2013-10-11,0.010900468190450024
2013-10-14,0.009332132592202586
2013-10-15,0.0011604420631209427
2013-10-16,0.004339185410851098
2013-10-17,0.008051135882360344
2013-10-18,0.0011448321867801303
2013-10-21,0.0008577152023422497
2013-10-22,-0.011787138857927402
2013-10-23,-0.02399877267018011
2013-10-24,-0.001185481086561838
2013-10-25,0.05103372909512395
2013-10-28,-0.004487810413486137
2013-10-29,-0.0014069928308835004
2013-10-30,0.0005626827657251186
2013-10-31,-0.0036642549318902586
2013-11-01,0.003383442074604483
2013-11-04,0.011473449210483093
2013-11-05,0.019289516992341153
2013-11-06,0.04117156795744261
2013-11-07,-0.017971263697079347
2013-11-08,0.007438520326816204
2013-11-11,-0.005041323113492486
2013-11-12,-0.006137775145305312
2013-11-13,0.02118740908071747
2013-11-14,-0.0036753371903440624
2013-11-15,-0.004745491863248773
2013-11-18,-0.017057982509651584
2013-11-19,-0.00488739208029413
2013-11-20,0.009211343969025081
2013-11-21,0.008593198585285478
2013-11-22,0.0045353968628979455
2013-11-25,0.0018610510449259383
2013-11-26,-0.0077345041458928235
2013-11-27,0.0066715928276900515
2013-11-29,0.013997378809467257
2013-12-02,0.008357247585295841
2013-12-03,-0.003647783559426815
2013-12-04,0.016310892831295463
2013-12-05,-0.024435977089073285
2013-12-06,0.00942957192949171
2013-12-09,0.009082530885723127
2013-12-10,-0.01562102753541024
2013-12-11,-0.013207152902556866
2013-12-12,-0.010423671114130142
2013-12-13,-0.01434213577018181
2013-12-16,0.005436156606880322
2013-12-17,-0.010080021931163762
2013-12-18,0.0016407910006282416
2013-12-19,-0.009061179162967907
2013-12-20,0.015057899063252278
2013-12-23,-0.004903369489863524
2013-12-24,0.012483114667833525
2013-12-26,0.009661975294127784
2013-12-27,-0.004014324834419806
2013-12-30,0.0
2013-12-31,0.003213079852007561
2014-01-02,-0.00670540517232368
2014-01-03,-0.006750733612943604
2014-01-06,-0.021358558377760344
2014-01-07,0.007719889591379446
2014-01-08,-0.018013874576513305
2014-01-09,-0.006451914271942491
2014-01-10,0.014251882314989646
2014-01-13,-0.029852823978271124
2014-01-14,0.02261244086596949
2014-01-15,0.027021059969382547
2014-01-16,0.003530072788598541
2014-01-17,-0.013920763686495835
2014-01-21,-0.005789708229426106
