Date,MSFT_rsi14,MSFT_macd,MSFT_macd_signal,MSFT_macd_hist,MSFT_bb_upper,MSFT_bb_middle,MSFT_bb_lower,MSFT_bb_position,MSFT_bb_width,MSFT_stochastic,MSFT_mom_5,MSFT_mom_10,MSFT_mom_20,MSFT_mom_60,MSFT_mom_120,MSFT_roc_10,MSFT_roc_20,MSFT_mom_acceleration,MSFT_vol_5,MSFT_vol_10,MSFT_vol_20,MSFT_vol_60,MSFT_vol_parkinson,MSFT_volvol_20,MSFT_downside_vol_20,MSFT_vol_asymmetry,MSFT_dd_20,MSFT_dd_60,MSFT_dd_120,MSFT_dd_252,MSFT_days_since_high_60,MSFT_days_since_high_120,MSFT_sharpe_20,MSFT_sharpe_60,MSFT_sortino_20,MSFT_sortino_60,MSFT_calmar,MSFT_ma_5_20_cross,MSFT_ma_10_50_cross,MSFT_ma_20_60_cross,MSFT_ma_50_200_cross,MSFT_adx_14,MSFT_adx_28,MSFT_trend_slope_20,MSFT_trend_slope_60,MSFT_skew_20,MSFT_skew_60,MSFT_kurt_20,MSFT_kurt_60,MSFT_autocorr_1,MSFT_autocorr_5,MSFT_autocorr_10,MSFT_mkt_corr_20,MSFT_mkt_corr_60,MSFT_mkt_corr_120,MSFT_beta_60,MSFT_beta_120,MSFT_rel_strength_20,MSFT_rel_strength_60,MSFT_rel_vol,ew_value,ew_vol_5,ew_vol_20,ew_vol_60,ew_ret_5,ew_ret_20,ew_ret_60,ew_dd_60,ew_dd_120,ew_dd_252,ew_sharpe_20,ew_sharpe_60,avg_correlation_60,regime_0,regime_1,regime_2
2013-05-23,0.7235107648270912,1.2733199317097539,1.2534253517760778,0.262054403778727,-1.3437929677569846,-1.3592349053396806,-1.36644561904855,0.2527479672107377,0.7875146581578467,0.015499899617015546,0.5690689301343339,1.171860069229989,1.4507190815332212,2.436840385040169,1.724612259812533,1.171860069229991,1.4507190815332203,0.15374915147137214,0.13274977472661817,-0.11245522132842073,-0.09289168733625777,0.3021637445646307,0.5167551044077464,0.9470274112464688,-0.6273938144709078,0.46648397964475014,-0.07022874023451567,0.24743297802924638,0.30191845572352743,0.30301285498088104,-1.255022975327746,-0.6212174098676811,1.6304523279172474,2.2795603387236554,1.3425779815929748,2.226767838117456,-0.04143594106773166,1.5690455604171996,2.4514334249870835,2.605524298256293,-0.16793898172723323,1.9374759361252758,2.679085395033533,0.6345394756143704,0.9345660848168111,-0.06879714332085123,-0.23056278767589222,-0.9331689364494743,0.28562030720688303,0.8393645607893997,-1.1183003747875337,0.3091637670621143,0.03866537774557232,-1.6098645691381586,-0.9706994470685444,-1.4979779205773305,-1.2069521881793626,0.79202503957073,1.5446277160652029,0.3146104090774311,-1.492783799018347,-0.02312571137857357,-0.3327414712972917,-0.5241804767464853,-0.6171078707282409,1.6801215161727605,1.580779909240766,0.24910573670324576,0.2577788874146253,0.2577788874146253,1.7056290703893593,1.6721340814120738,-1.117999985633911,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-05-24,0.18151846436812777,1.1703957702508598,1.276805270496026,-0.03675135020170987,-1.3423132747669129,-1.3515007029442985,-1.352294570939186,0.28047858773403506,0.6575550773887019,0.11154597433098992,-0.09225443738530267,1.0835806938098693,1.0639915965093507,2.009495046157187,1.7487898465173912,1.0835806938098695,1.063991596509349,-0.8736760823460571,0.47521718706719024,-0.00813935594006231,0.06457386349231592,0.33203847740149495,0.6391525198340298,1.1091615893951587,-0.4811283485861604,0.31762198497286664,0.03905140786794081,0.3333856157583014,0.3834800899688066,0.3846565644895185,-1.250883926788673,-0.6167348593520975,1.1038041859717196,1.8659555155178174,0.829065940093562,1.7886018548499327,-0.04143609586470564,1.4233370936377934,2.4772056903082875,2.6066448031840954,-0.08605313072646356,1.634310209965214,2.766893953560636,0.558210182659518,0.9666162039882934,0.00310983427525277,-0.14059878299576054,-1.0016250173244288,0.23780728542492469,1.0470186577376526,-1.0254017512035654,0.5275370060308135,0.13820139978196241,-1.6490398699994748,-0.8736736792142481,-1.469613444110186,-1.0883866016308041,0.5083520535445085,1.3327130972916557,0.42634519048683517,-1.4925021879765383,0.007113560320101775,-0.34736889193503045,-0.5564435797127625,-0.35787953501834474,1.533027963187018,1.4324380786082234,0.25289730891890416,0.261568400986779,0.261568400986779,1.5586584523235403,1.5366398048485448,-1.2167117833754433,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-05-28,0.10591015444771645,1.0843149636727702,1.2733431756656137,-0.2354153281047619,-1.3438295010679322,-1.3429113031677076,-1.333312087100045,0.787947574775521,0.45210828452564833,0.7118400091692859,-0.7167177029933227,1.1522809468902198,1.230026638915978,2.0651304057411095,1.9733820127334285,1.1522809468902206,1.2300266389159766,-0.8399662433684885,-0.5326456608973388,-0.02251492096297336,0.02726537573025272,0.3288999136970387,0.6201494244779677,1.2267184819664179,-0.4610523084947801,0.2652664066944192,0.7220592374695974,0.8705950317706109,0.89324545679832,0.8949349069002672,-1.2467448782496,-0.6122523088365138,1.3054493765079662,1.9196604811844171,0.9604850725686823,1.83747918140543,-0.0413561915559158,1.0885097977591984,2.512640380483007,2.6187131328799254,-0.00559989005729101,1.3117673022261325,2.8393632257126313,0.4534732051073438,0.9963902781069378,-0.08952262802597129,-0.1608086176570129,-0.9677637516908117,0.24396860042136106,1.0454882797240423,-1.0137787968696306,0.5396039695980143,0.07722606557163615,-1.6609185666861492,-0.8667209968818061,-1.4828748847204143,-1.1117767990542882,0.6791064046684755,1.374175529987506,0.40202421857655307,-1.4742890351336708,-0.5973723135171429,-0.40102083294909396,-0.5594725033124757,-0.8603473369615224,1.643750311115237,1.4534364144731409,0.4981166860962261,0.506654635697246,0.506654635697246,1.7244959080949411,1.5612779907731287,-1.2295274150092315,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-05-29,0.8196063276079159,1.0878786080517675,1.2520349011154113,-0.17943095421748304,-1.333283363640243,-1.3345263592249668,-1.3272156530150934,0.568785479563458,0.4890553234684293,0.5997971463957245,-0.21429700177460154,1.4541961322184962,1.1526816228667547,2.301532731679503,2.391445717188406,1.4541961322184969,1.1526816228667542,-1.1830437802683593,0.3627503843011398,0.17397973397402028,-0.04952608774676999,0.393078323946022,0.5596735423540969,1.2919047387480238,-0.4610523084947801,0.1767260084033765,0.5945781230754813,0.7703267009431256,0.79809946545463,0.7996931703895107,-1.242605829710527,-0.6077697583209302,1.2667104378293668,2.0932604012349114,0.8917862116896339,2.047720090119913,-0.04140989922825108,0.8988790138862729,2.56736114143379,2.6165659294671393,0.08657260504958832,1.093441700496867,2.919436783922572,0.4777569434306544,1.039976197459763,-0.18005100813202785,-0.19790534655541175,-1.0149356305012165,0.12465863965343825,1.0285205244939444,-0.9639510142690654,0.6381379591825137,0.06273778979144258,-1.6111341279675249,-0.8699761889540132,-1.3843938387067962,-1.0650981185973416,0.60607160434058,1.5817068462263904,0.33121157009910146,-1.5017393620192827,-0.2437995307598221,-0.5227213188082195,-0.5509798925750006,-0.4983581349548467,1.4448985660061022,1.5858530163894577,0.1285292719742563,0.13726788997514397,0.13726788997514397,1.6054497089341602,1.697109481131703,-1.2293627812998753,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-05-30,0.9792623156603049,1.0550256323590237,1.2357557577063354,-0.22194945201473973,-1.324468592469814,-1.3281337063254643,-1.3233684527290561,0.584350507845966,0.5321759743589729,0.7198477383928583,-0.13092042435894471,0.7642470933493717,0.7737901140414766,2.1392984688354617,2.3659594574413623,0.7642470933493728,0.7737901140414755,-1.7767616459764837,0.3237460220602051,0.005318381703860533,-0.08950081991439612,0.40297170116921516,0.38690147590808477,1.3076237504114054,-0.4824386482947567,0.1924212078321923,0.7311703420943556,0.8777612324824652,0.9000455627267846,0.9017418557578872,-1.2384667811714538,-0.6032872078053465,0.8564107512701257,1.9401109671377725,0.5654371740322425,1.908896375431378,-0.04131411156886614,0.7746439489792709,2.5495120711162116,2.5897632019253476,0.17623017858427018,0.9645573609294417,2.9966627593923807,0.5134007097446762,1.0798774574284618,0.037265128969010096,-0.14364283566880715,-0.9665760424085121,0.10665469096689718,0.8859980644342337,-0.8601791584501685,0.512677665192405,0.1418213999776062,-1.58018360171953,-0.8623410696746817,-1.367053884062869,-1.0776339064790705,0.37251136437987,1.592339127466198,0.10866551727808652,-1.4775545299552117,0.02579535785422933,-0.42177174299530884,-0.47414192687479395,-0.8629745775004815,0.8108658926808143,1.299022577303171,0.45415051432890136,0.46271233547153695,0.46271233547153695,0.815045658949562,1.3407048851882293,-1.168883722791585,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-05-31,1.353175027813361,1.0287512432831565,1.2156571359946773,-0.2401926036336524,-1.3174148341135883,-1.3200642797291637,-1.3143008826276903,0.4079848840750346,0.5068783730150925,0.614158199359427,0.23459686601453975,0.6282955699005349,1.0904726202012687,2.098954796283166,2.2631465277595226,0.6282955699005336,1.0904726202012665,-1.7749836302918898,0.23629898819090256,-0.02474878252445622,-0.20902439300913242,0.4007199287468696,0.2719862744655957,1.287429387357021,-0.5708248004066812,0.2642001564653562,0.6127833379587122,0.7846457357066116,0.8116869935047446,0.813294371534254,-1.2343277326323807,-0.5988046572897628,1.2956833716385918,1.9048523342168437,0.9328054143542266,1.8727947849068747,-0.04140595749177403,0.7160740409332175,2.5156828364514787,2.5898788408056177,0.26693076489872547,0.9617509258381521,3.022334871018647,0.5038169123395042,1.1222338473425755,-0.05472977639793271,-0.128816368226602,-0.889592991279985,0.11199510084162662,0.9234814317605874,-0.8475237503364691,0.5155043438479883,-0.054383828351959235,-1.5838567471683693,-0.8549258282672192,-1.34231438501904,-1.081245797990859,0.45022559175866284,1.6300054590575845,0.2689902859148835,-1.5043880082631584,-0.14458242467709298,-0.41545299098729754,-0.49590477239842035,0.19622336677835303,1.1629807533666265,1.2513439632131225,0.09286826435576291,0.10162624458886697,0.10162624458886697,1.20292659782661,1.3041521556918894,-1.2759493332370127,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-06-03,1.2113359186408654,0.9743909300626639,1.1939197141045321,-0.3221209302537285,-1.3113736096860762,-1.3137975148390906,-1.307841292006412,0.830518848187647,0.49830509224235564,1.233857145977151,0.5531874124260263,0.35658016797364256,0.749244679318898,2.178570650149632,2.176366927206363,0.3565801679736418,0.7492446793188985,-2.2555998250171725,-0.1542807453781646,0.0012389561307608289,-0.23716092903192126,0.37834210502045373,0.11931455442059127,1.2062156018127876,-0.5889986731549198,0.2852656725564753,1.2411585285443905,1.278884680768241,1.2806770923770996,1.2827564139402763,-1.2301886840933076,-0.5943221067741792,0.9004125981855614,1.9917606636174499,0.617077188522858,1.9639674779941394,-0.04143074393834964,0.7783851180953547,2.456178981025773,2.560013408735335,0.3533225750027664,1.0022867825686266,3.0126256775802083,0.5023386668523008,1.151756952976674,0.16384249823227953,-0.13956152048122367,-0.8258269074962921,0.15268298625702614,0.8998613367156975,-0.7655827904067338,0.5058498593408676,-0.30765975611390595,-1.5418228824186657,-0.8695887372955615,-1.444384973616691,-1.2054862679718599,0.6048791831219529,1.9622637405509533,-0.23070831287265237,-1.5088294053217528,0.23763131431695306,-0.4858884867125763,-0.42486299467824856,-0.4124029495495567,0.41770972931422223,1.065994108780637,0.033069907097032454,0.041860354995991264,0.041860354995991264,0.4015789413771707,1.0686597474711506,-1.313893430261176,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-06-04,1.3189692793244465,0.9968732288050527,1.1648225903880345,-0.20343944254455995,-1.2977931340807478,-1.306378733369709,-1.3068409950948445,0.2861771422273694,0.6126903872345816,0.14268405202410567,1.0899466193841747,0.2707011830484076,0.9418781004322255,2.439459138414558,2.6140742733311586,0.27070118304840857,0.9418781004322252,-1.8630311359681486,0.15692625997589774,-0.11553611014161681,-0.11494602450201102,0.426711319186459,0.27255120582308023,1.0226806427774702,-0.5889986731549198,0.41207690505154987,0.2381233448144304,0.4899626187684051,0.5320581509584942,0.5333841392009189,-1.2260496355542345,-0.5898395562585955,1.0643560795209295,2.193352233214252,0.805787882002569,2.195996223033621,-0.041430960945373005,0.9609126039075294,2.3714319134417696,2.536531145141788,0.4509476978158085,1.034510487547096,3.0106361146599556,0.5806666324235761,1.1915431417016453,0.13805255850613032,-0.20227859086456124,-0.9259549213452766,0.061539764831432815,0.775826101887266,-0.7515393472419915,0.6801058168474325,-0.26979354033311737,-1.4958136842428211,-0.8193317987273206,-1.3645797037634646,-1.1264974390262648,0.9415968723245036,2.186296422948575,0.01680749942693476,-1.5117415858878098,0.23481956721456584,-0.5695660301397696,-0.45040905198886966,-0.5007397011323369,0.09479676352823224,0.8519898433331292,-0.00613929027793339,0.002672446351638796,0.002672446351638796,0.0545094942206493,0.8596413145838476,-1.4057803675086287,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-06-05,0.523176190668857,0.9247743239778112,1.1463867409570214,-0.33524528665911835,-1.2919415277069712,-1.3016887022617938,-1.30338214908129,0.08996342300425397,0.6317841031185465,-0.22656985103964075,-0.18660541563648594,-0.3133879264059479,0.45309076560754363,2.2628452543582775,2.1004104141676563,-0.31338792640594926,0.45309076560754225,-1.7331818810832755,0.31913017181539877,0.1463635185902383,0.07411606639661023,0.4974950966202829,0.419344073229576,0.7435041982761801,-0.33328901056051996,0.1465831399964018,0.0496136161446118,0.34169315996818267,0.3913632323623969,0.3925476396690814,-1.2219105870151614,-0.5853570057430119,0.4282683491380416,1.9902855699067072,0.20248050072717647,1.9378087825071098,-0.04143436607129356,0.8576243460586501,2.2320537336622737,2.479896093707031,0.5387925279104245,1.0456400042685006,2.9846952256877013,0.6060663737131466,1.2109015896690325,0.16899376143986172,-0.21896187842967785,-0.9306917982126633,-0.03879823493838752,0.4181161382141297,-1.084922056591009,0.6476024617129309,-0.16140181503959625,-1.3765470186267248,-0.7496833357058749,-1.1797154414880109,-1.030756648492247,0.5322574386820045,2.1393618279712943,0.15481004539946208,-1.5430048162005108,-0.03954194519103481,-0.5880148984141178,-0.45172395197677456,-0.894680231500126,-0.07783740850357905,0.8602266614122479,-0.42706311011145975,-0.41802283185366973,-0.41802283185366973,-0.14567109426148894,0.8688938794276422,-1.4201598870686267,-1.1239029738980326,-0.27386127875258304,1.2990381056766578
2013-06-06,0.20151686413009107,0.8261122204747702,1.116110643449757,-0.5043731521222529,-1.2897754636099854,-1.2962771273359723,-1.2946498320807183,0.16596943972473022,0.5653362334571388,-0.12421504898044798,-0.25180379427487326,-0.2993788264351074,0.5922052286358489,2.2428992078644425,1.814320620596938,-0.29937882643510827,0.5922052286358478,-1.623128954859832,0.3464828938974469,0.1406433556291097,-0.011620273530913506,0.502391794772075,0.30685678803621497,0.4439271834254732,-0.4538476145931365,0.2754058175844292,0.2111963747967267,0.46878362021047043,0.511961109381844,0.5132668740228735,-1.2177715384760883,-0.5808744552274283,0.6145058760549832,1.9695809441340724,0.38204194872123753,1.9178004761406022,-0.04143112513353749,0.7225419404756359,2.0978590274536875,2.4360751460397427,0.6257537706171078,0.9908414072612189,2.9407957584819404,0.5513319939090001,1.2183030702769435,0.19847289576535657,-0.21505283042774556,-0.8933567388628989,-0.047204321477136414,0.572505432207233,-1.0264299254732683,0.6782718434125465,0.20103699568014063,-1.285563495593302,-0.7651476067495561,-1.1829260964752404,-1.1485805987583126,1.1534426826012136,2.4048110943460337,-0.2450014575547257,-1.5307817911171098,0.054764218818445266,-0.4865768296583397,-0.36251472416131303,-0.9725715775533244,-0.18124380996016032,0.574170253853982,-0.262493986685466,-0.2535430616399437,-0.2535430616399437,-0.281953311782177,0.5332373796060803,-1.355595999255415,-1.1239029738980326,-0.27386127875258304,1.2990381056766578
