Date,GOOGL
2013-05-23,-0.007482315773360618
2013-05-24,-0.0107852760059284
2013-05-28,0.0090620026242013
2013-05-29,-0.014815201462107373
2013-05-30,0.0028175469334963455
2013-05-31,0.0005281341234483008
2013-06-03,-0.004129144389386125
2013-06-04,-0.009880140718331185
2013-06-05,0.0006980483283402332
2013-06-06,0.005730063608383685
2013-06-07,0.017301677294889586
2013-06-10,0.011853632763893835
2013-06-11,-0.011762825150489792
2013-06-12,-0.008939188417590567
2013-06-13,0.005740254219258369
2013-06-14,-0.0022372457772678288
2013-06-17,0.012729362896988426
2013-06-18,0.016084377326166327
2013-06-19,6.654809860014446e-05
2013-06-20,-0.017856102116111508
2013-06-21,-0.004315648155864878
2013-06-24,-0.012726435322984621
2013-06-25,-0.004135947238448855
2013-06-26,0.008564023313610768
2013-06-27,0.003906957361894147
2013-06-28,0.0037555995540624752
2013-07-01,0.008494266538359036
2013-07-02,-0.00629316529108032
2013-07-03,0.004658653244573326
2013-07-05,0.007932985611827181
2013-07-08,0.012899226969134626
2013-07-09,0.0001658371140818438
2013-07-10,0.0008280956393142199
2013-07-11,0.01560624626080013
2013-07-12,0.0029947257491629298
2013-07-15,0.001829273690712293
2013-07-16,-0.005508822665836605
2013-07-17,-0.001153387881870957
2013-07-18,-0.008604798095973686
2013-07-19,-0.015581681404839579
2013-07-22,0.015603675727861366
2013-07-23,-0.0076052600248262565
2013-07-24,-0.0009965122050810823
2013-07-25,-0.016977974426127296
2013-07-26,-0.0026506665814932874
2013-07-29,-0.0034850213155015663
2013-07-30,0.009756473055382202
2013-07-31,-0.0035644201190127033
2013-08-01,0.018382481510178753
2013-08-02,0.0025956763355938777
2013-08-05,-0.0017332353554376952
2013-08-06,-0.009358684306423917
2013-08-07,-0.006624902489670089
2013-08-08,0.0022543048918595584
2013-08-09,-0.0025236946429760773
2013-08-12,-0.005518349960587392
2013-08-13,-0.004822421477880047
2013-08-14,-0.013066617021462569
2013-08-15,-0.011737653012384108
2013-08-16,-0.0032041799118553067
2013-08-19,0.010147764180574592
2013-08-20,-0.00026564266129064216
2013-08-21,0.004507856953082548
2013-08-22,0.005025768534661348
2013-08-23,-0.004014165008412243
2013-08-26,-0.004399381093444867
2013-08-27,-0.018922307604332805
2013-08-28,-0.0018837292809326003
2013-08-29,0.008075122801475801
2013-08-30,-0.010021578210825676
2013-09-03,0.015791489616262165
2013-09-04,0.012990999341177707
2013-09-05,0.009056720516215745
2013-09-06,2.2772501446427792e-05
2013-09-09,0.009583449137163741
2013-09-10,0.0006980122226480733
2013-09-11,0.00842648316077988
2013-09-12,-0.003498821848514205
2013-09-13,-0.004477667240415145
2013-09-16,-0.0014746325280472628
2013-09-17,-0.0018603191615048258
2013-09-18,0.019235768152713363
2013-09-19,-0.005472583339790825
2013-09-20,0.005240199015688875
2013-09-23,-0.018563343855976282
2013-09-24,0.0003834267265279843
2013-09-25,-0.010895314564624286
2013-09-26,0.001071014176257781
2013-09-27,-0.0020289820449082424
2013-09-30,-0.0005477974894507131
2013-10-01,0.012581490618427879
2013-10-02,0.0011155734143124857
2013-10-03,-0.013491714303647215
2013-10-04,-0.0042781168807597665
2013-10-07,-0.007605975392908066
2013-10-08,-0.014039973387347741
2013-10-09,0.0025620479357867745
2013-10-10,0.014361456203264771
2013-10-11,0.004309677649522658
2013-10-14,0.004713746570422236
2013-10-15,0.0067116838983463465
2013-10-16,0.01800001579225594
2013-10-17,-0.01034237359915284
2013-10-18,0.05103372909512395
2013-10-21,-0.00805083469301975
2013-10-22,0.0036809965247948514
2013-10-23,0.023951241526192848
2013-10-24,-0.005697786841338488
2013-10-25,-0.010143406245542852
2013-10-28,-0.00019701814687042243
2013-10-29,0.02071011132117991
2013-10-30,-0.005632275860871732
2013-10-31,0.000155348459342863
2013-11-01,-0.003440887736809194
2013-11-04,-0.0009059761663718785
2013-11-05,-0.0044831825224076445
2013-11-06,0.001203254743892162
2013-11-07,-0.014576389210054512
2013-11-08,0.00798423343582015
2013-11-11,-0.005368585154423292
2013-11-12,0.0011769712703243557
2013-11-13,0.020242834097884074
2013-11-14,0.0026695574067987435
2013-11-15,-0.0016144818812834666
2013-11-18,-0.001946613216301343
2013-11-19,-0.00617470910796757
2013-11-20,-0.0028230930818790353
2013-11-21,0.011437768840933912
2013-11-22,-0.002110446083418863
2013-11-25,0.013514260232598772
2013-11-26,0.011861414635793382
2013-11-27,0.00443085743778518
2013-11-29,-0.003316593381661277
2013-12-02,-0.004834389234584038
2013-12-03,-0.0011574819163682197
2013-12-04,0.004660349124500306
2013-12-05,-0.0007940891745147798
2013-12-06,0.011780716004464752
2013-12-09,0.007700131341734671
2013-12-10,0.006029415560789052
2013-12-11,-0.006817987420044634
2013-12-12,-0.006827350297057823
2013-12-13,-0.00860748013964935
2013-12-16,0.011425899832219182
2013-12-17,-0.002912025743075131
2013-12-18,0.013821792504857423
2013-12-19,0.0013542506710548358
2013-12-20,0.013169846868672055
2013-12-23,0.013070437992325948
2013-12-24,-0.0029278375636948265
2013-12-26,0.005042013139644432
2013-12-27,0.0008407972197093115
2013-12-30,-0.008025668420893512
2013-12-31,0.010089034647329492
2014-01-02,-0.006795523097436334
2014-01-03,-0.007321531851535034
2014-01-06,0.011087617568953448
2014-01-07,0.01909474430074639
2014-01-08,0.002078922566292562
2014-01-09,-0.00967658635091454
2014-01-10,-5.3099233176761144e-05
2014-01-13,-0.006390962037405689
2014-01-14,0.02325410267898158
2014-01-15,-0.000678795217030488
2014-01-16,0.006594748161296404
2014-01-17,-0.004933341364926229
