Date,GOOGL_rsi14,GOOGL_macd,GOOGL_macd_signal,GOOGL_macd_hist,GOOGL_bb_upper,GOOGL_bb_middle,GOOGL_bb_lower,GOOGL_bb_position,GOOGL_bb_width,GOOGL_stochastic,GOOGL_mom_5,GOOGL_mom_10,GOOGL_mom_20,GOOGL_mom_60,GOOGL_mom_120,GOOGL_roc_10,GOOGL_roc_20,GOOGL_mom_acceleration,GOOGL_vol_5,GOOGL_vol_10,GOOGL_vol_20,GOOGL_vol_60,GOOGL_vol_parkinson,GOOGL_volvol_20,GOOGL_downside_vol_20,GOOGL_vol_asymmetry,GOOGL_dd_20,GOOGL_dd_60,GOOGL_dd_120,GOOGL_dd_252,GOOGL_days_since_high_60,GOOGL_days_since_high_120,GOOGL_sharpe_20,GOOGL_sharpe_60,GOOGL_sortino_20,GOOGL_sortino_60,GOOGL_calmar,GOOGL_ma_5_20_cross,GOOGL_ma_10_50_cross,GOOGL_ma_20_60_cross,GOOGL_ma_50_200_cross,GOOGL_adx_14,GOOGL_adx_28,GOOGL_trend_slope_20,GOOGL_trend_slope_60,GOOGL_skew_20,GOOGL_skew_60,GOOGL_kurt_20,GOOGL_kurt_60,GOOGL_autocorr_1,GOOGL_autocorr_5,GOOGL_autocorr_10,GOOGL_mkt_corr_20,GOOGL_mkt_corr_60,GOOGL_mkt_corr_120,GOOGL_beta_60,GOOGL_beta_120,GOOGL_rel_strength_20,GOOGL_rel_strength_60,GOOGL_rel_vol,ew_value,ew_vol_5,ew_vol_20,ew_vol_60,ew_ret_5,ew_ret_20,ew_ret_60,ew_dd_60,ew_dd_120,ew_dd_252,ew_sharpe_20,ew_sharpe_60,avg_correlation_60,regime_0,regime_1,regime_2
2013-05-23,1.0242599053139683,1.030157356219867,0.9542565994586771,0.3449048642919875,-1.409005267600981,-1.5007477328760852,-1.5822725035865122,0.11593370529264782,1.626858872278391,-0.13432462036852344,-1.0478498991382534,0.2257208973903276,1.3551638088401743,0.8103953313913524,1.5787294478721536,0.225720897390327,1.3551638088401738,-0.1897847677697297,-0.12870556280820084,0.547991380649228,0.3356413346668338,0.10636317464033679,0.6116682292481703,-0.42233344405518625,-0.4639234978995021,0.4829239730980865,-0.346697985676047,0.11582562625815263,0.24432192090809843,0.31820614320432244,-1.4660610597636536,-1.4660610597636536,1.3476705141964522,0.9279426869344652,0.7875275645148104,1.0555665683106346,-0.029430955070496343,1.6041295792269687,1.7347327067520073,0.9043801573542858,0.7533745943570727,2.682865895129451,0.3707248928455928,1.2180667253132131,0.07116677094107848,0.21605457681241935,1.055123253739982,-0.7163069465126,-0.38500623155217,-0.3567133260627523,-0.043382592337361525,-0.26570654565251217,0.2961709538860976,-0.34804667356235075,-0.8318918274873223,-0.1441414103577277,-0.43034713992729456,0.6910115303261685,-0.08567441597657863,0.7306075917651748,-1.492783799018347,-0.02312571137857357,-0.3327414712972917,-0.5241804767464853,-0.6171078707282409,1.6801215161727605,1.580779909240766,0.24910573670324576,0.2577788874146253,0.2577788874146253,1.7056290703893593,1.6721340814120738,-1.117999985633911,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-05-24,0.5866343653323277,0.9041083662910789,0.9850410920729027,-0.025121972485403397,-1.4112220348463922,-1.489707966055346,-1.5574105546051917,-0.11893252200826619,1.41759856646251,-0.6933470687946086,-0.8709877335775784,0.10663785381318937,1.3140581629730907,0.5679776929058867,1.3737912960828542,0.10663785381318905,1.3140581629730888,-0.1780166924980128,-0.25594394243912,0.6014086306297063,0.3589629904506148,0.10138107399549817,0.6467034792729556,-0.40124254238144386,-0.44239452525373596,0.46170016862870616,-0.7042403694456962,-0.16482517242579175,-0.01877476521047247,0.07089633719574305,-1.4632242079725792,-1.4632242079725792,1.2967937882244343,0.6849819608726581,0.7469749808985041,0.7837196848859725,-0.029436077781593736,1.224539965786553,1.7311575782080861,0.9825594238782724,0.7491223088414833,2.671817858738254,0.38455255771684105,1.0633391211603436,0.09526333091568129,0.21953971677746817,1.153359561883322,-0.7415252833733451,-0.3253629141063557,-0.17576300473041465,0.1441086552664663,-0.17842193698937409,0.493393227909242,-0.3743764735193864,-0.8239562179528699,-0.09971419731453426,-0.42952265093864117,0.7935920613950824,-0.13281294187475298,0.6831593984592917,-1.4925021879765383,0.007113560320101775,-0.34736889193503045,-0.5564435797127625,-0.35787953501834474,1.533027963187018,1.4324380786082234,0.25289730891890416,0.261568400986779,0.261568400986779,1.5586584523235403,1.5366398048485448,-1.2167117833754433,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-05-28,0.00967518853811855,0.7472016782455848,0.982517467213951,-0.39498428105206856,-1.4227388925725495,-1.4789363712890584,-1.5233221832487978,-0.011845636811536123,1.074403058415158,-0.39506400015994453,-1.3820397521921286,-0.3800514331531417,1.2899046595757677,0.4152902428963666,1.1659064198197318,-0.3800514331531416,1.2899046595757675,-0.3956698507528405,-0.5865343867321793,0.623142611081801,0.3772096231405942,0.1383976077380505,0.6673247465075861,-0.3886756167048796,-0.4150886031141282,0.4355101655221892,-0.4040853376018615,0.07077976069522462,0.20209357875292247,0.2785116747542186,-1.460387356181505,-1.460387356181505,1.2650778939036769,0.5197429120253307,0.7148337229863316,0.5996494753501029,-0.029432552747306356,0.7139357520110254,1.6747734104801235,1.0640266951552255,0.7436668667521112,2.5263846776407073,0.3873908875123752,0.8165233358909634,0.11096338147904475,0.21022006348205607,1.1754167086630758,-0.7539432685456936,-0.3601464876620762,-0.0765799989222549,0.11179898373846459,-0.2802778005355342,0.4592524970586338,-0.3565410950534444,-0.8007852828494227,-0.05442219768136865,-0.4060787829260233,0.7473918042555439,-0.2849035714972935,0.720997717830236,-1.4742890351336708,-0.5973723135171429,-0.40102083294909396,-0.5594725033124757,-0.8603473369615224,1.643750311115237,1.4534364144731409,0.4981166860962261,0.506654635697246,0.506654635697246,1.7244959080949411,1.5612779907731287,-1.2295274150092315,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-05-29,0.29417262763493074,0.6468926199616054,0.9467005349561892,-0.555438994040646,-1.4286695898597284,-1.4696164812442056,-1.4980674317913896,-0.3763437127686542,0.8402091500160147,-1.45414595440146,-1.0828411882788744,-0.09702801705421883,1.0456206102698382,0.44981122024151243,1.3054297628755174,-0.09702801705421812,1.0456206102698395,-0.7645233786521147,-0.06318815329883776,0.6845205085878973,0.22762257072403416,0.14694299895392002,0.45730582198825587,-0.3841306427100508,-0.4150886031141282,0.3358045384609368,-0.8933932073948548,-0.3132995840020351,-0.15796241706214403,-0.05993948474506717,-1.4575505043904309,-1.4575505043904309,1.0913872834201275,0.5529695495663071,0.556975944803532,0.6390520480335516,-0.029437304165094828,0.3107147857687927,1.641416369273717,1.1265444207689361,0.7438542773228871,2.3809514965413467,0.3902292173089733,0.6408941116858816,0.13494238701783293,0.2776288360731024,1.1556006331767812,-0.5508744091533919,-0.3845380830978411,-0.23336105123144912,0.10047029967597536,-0.27283580560018117,0.4156156989883029,-0.33597886157662,-0.8003982497653386,-0.046084323046795335,-0.3977599908579674,0.4934889070489611,-0.282976939203702,0.5809823457052724,-1.5017393620192827,-0.2437995307598221,-0.5227213188082195,-0.5509798925750006,-0.4983581349548467,1.4448985660061022,1.5858530163894577,0.1285292719742563,0.13726788997514397,0.13726788997514397,1.6054497089341602,1.697109481131703,-1.2293627812998753,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-05-30,-0.40940904092621805,0.4972594812081431,0.8964402059007957,-0.801832679629172,-1.4369837735300484,-1.4630636324219495,-1.4759553572440047,-0.38508003840881067,0.6145697248805235,-1.1837171973746416,-1.4829577364856021,-0.6915555692119822,0.6390353235810878,0.04916273041035977,1.2152836497510728,-0.6915555692119827,0.6390353235810878,-1.081238666349821,-0.017464924296972533,0.7297797439606608,0.3863239830539246,0.13397425455452852,0.5913214563647885,-0.4063080898858553,-0.251413750450849,0.22455202631817242,-0.8008942766223763,-0.24069309040257442,-0.0898973057341706,0.004041440772509269,-1.4547136525993565,-1.4547136525993565,0.6287709219322549,0.1399129283487925,0.23629792626075324,0.15619318568617893,-0.029436814341143744,-0.1526808967679584,1.5426339671180764,1.174057126747776,0.7429507291210765,2.021638135064023,0.39605725312313866,0.41721235899549136,0.159172868207976,0.3705665236304993,1.2468423437005132,-0.6695399136440475,-0.2762226894133944,-0.6568082603768581,0.10515252010357985,-0.26042376708195786,0.5726143819398847,-0.2547931302328152,-0.7378141007271787,-0.0396524181165073,-0.3590153339025164,0.22980447864202896,-0.5209748825201864,0.5508867927679715,-1.4775545299552117,0.02579535785422933,-0.42177174299530884,-0.47414192687479395,-0.8629745775004815,0.8108658926808143,1.299022577303171,0.45415051432890136,0.46271233547153695,0.46271233547153695,0.815045658949562,1.3407048851882293,-1.168883722791585,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-05-31,-0.29668396935764574,0.38055908126683385,0.8240006481826739,-0.9201413263458186,-1.4507665251753568,-1.4555234965403183,-1.4460811256982455,-0.47524050148086483,0.29346056148222155,-1.1624388562189447,-0.7967432885321907,-1.348005776198317,0.7863588556872607,-0.15734042973031973,1.2924346428713627,-1.3480057761983182,0.7863588556872608,-1.8219025715073494,-0.19379843830099852,-0.4323896431245772,0.35553983496267827,0.03848509407976222,0.5547039150115568,-0.4286737525159749,-0.22849479276691745,0.19344001832125887,-0.7835268229495835,-0.2270606094279106,-0.07711750754785704,0.01605439865849956,-1.4518768008082823,-1.4518768008082823,0.7836573921713864,-0.07025013275184948,0.31788763041308526,-0.08346359389564326,-0.0294359396596179,-0.443147595575643,1.3633129909150075,1.2419531159634802,0.7412676655640115,1.6753965565540925,0.4290893771657209,0.16942914867831152,0.19779868648959423,0.27595743346138457,1.3377535303030033,-0.6396736807612693,-0.07229724510068683,-0.5258361454367761,0.21739241396967376,-0.25684092339773995,0.6696229168719902,-0.3596338152109074,-0.7262607019514047,-0.1458497632125463,-0.35952096944690853,0.13368812554954856,-0.6556559878973038,0.8526565749795975,-1.5043880082631584,-0.14458242467709298,-0.41545299098729754,-0.49590477239842035,0.19622336677835303,1.1629807533666265,1.2513439632131225,0.09286826435576291,0.10162624458886697,0.10162624458886697,1.20292659782661,1.3041521556918894,-1.2759493332370127,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-06-03,-0.5147416856528698,0.2819677338578719,0.7409114891079311,-0.9714542390228819,-1.4635066481436028,-1.449289740845576,-1.419968961491438,-0.7213429214703425,0.009357381194738104,-1.3285015056888052,-0.5471219383164064,-1.0406839064954712,0.5877457588815741,-0.05126457623088009,1.2482582511750657,-1.0406839064954718,0.5877457588815728,-2.174890553662388,-0.19511979941472943,-0.5000719784082686,0.32192650344859197,0.0167446000838914,0.3795701583864409,-0.441937923965632,-0.22849479276691745,0.201407002729747,-0.9190677164029657,-0.33345263937682584,-0.176854941541444,-0.07769838027856057,-1.4490399490172081,-1.4490399490172081,0.5952285111367704,0.04860783834543061,0.19859261254200158,0.04013120835690212,-0.0294370675693094,-0.6462914911055034,1.225011344437407,1.289865000509693,0.7381608880086454,1.336380584223412,0.4682100831089516,-0.05934405747523915,0.23014024602654023,0.43383200611337147,1.312464947332277,-0.5394886723530804,-0.051906011419082874,-0.5221631667177485,0.1909180025678079,-0.21039928199946925,0.01537935560148704,-0.5727612931553234,-0.8633118767192509,-0.4360618962346793,-0.5173948710376951,0.4061984369876385,-0.3857960830163843,0.27855023390813854,-1.5088294053217528,0.23763131431695306,-0.4858884867125763,-0.42486299467824856,-0.4124029495495567,0.41770972931422223,1.065994108780637,0.033069907097032454,0.041860354995991264,0.041860354995991264,0.4015789413771707,1.0686597474711506,-1.313893430261176,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-06-04,-0.5360818420085256,0.18032450200742356,0.6532033771533824,-1.0198075671807765,-1.4698128408273505,-1.4460073148990813,-1.4066421158019697,-1.1441001929518808,-0.1337253666841391,-1.6860649334601945,-0.33817733002652506,-1.2644954461820646,0.15733644175418313,-0.1160726301914941,1.309663878906503,-1.2644954461820648,0.15733644175418318,-1.8509332453576814,-0.3640977250805433,-0.6323578970898898,0.18313273561312177,0.022502989278300863,0.13000607998503508,-0.4346792204913779,-0.2525115552074855,0.1523043030705014,-1.2411247472979583,-0.5862494182915498,-0.41383981778551016,-0.30046319208798705,-1.4462030972261337,-1.4462030972261337,0.17620016646358283,-0.02313985510038247,-0.06083466832911365,-0.03260033397977811,-0.029438764722121206,-0.7491501003083253,1.0596979328942027,1.3064169703090216,0.7377007626275868,1.0202649482032216,0.5140546013429269,-0.2528942727251602,0.2596255864039679,0.7046027558675905,1.3401803942743065,-0.21031415462862163,-0.0481183768164854,-0.5193666625632337,0.24201670892561045,-0.23483555276329454,-0.3628413981978054,-0.6416139267764672,-0.8557374269417994,-0.4819619344599007,-0.5302176486710204,0.017045593325664986,-0.4867468797157293,0.28031445915240366,-1.5117415858878098,0.23481956721456584,-0.5695660301397696,-0.45040905198886966,-0.5007397011323369,0.09479676352823224,0.8519898433331292,-0.00613929027793339,0.002672446351638796,0.002672446351638796,0.0545094942206493,0.8596413145838476,-1.4057803675086287,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2013-06-05,-1.0123461541965608,0.055048975832450775,0.561142720533347,-1.1150410598188796,-1.4691993333315039,-1.4463743628235566,-1.4080360191336372,-1.1073706182018914,-0.11910522984922536,-1.2737960349887554,-0.9291619845509089,-1.467928900131077,-0.35297279346021354,-0.21477067068633307,1.1894798859923847,-1.4679289001310765,-0.3529727934602134,-2.3161736107437916,-0.6482517921035118,-0.6283277669481576,0.06692544846397164,0.048945085478032266,-0.013164289110612038,-0.41036309806802085,-0.2366590378158394,0.06247643873494814,-1.2184752001908143,-0.5684707890324664,-0.3971732041014241,-0.28479664357367523,-1.4433662454350595,-1.4433662454350595,-0.3836475854578305,-0.13444572409620242,-0.38441320948412927,-0.15111496710234032,-0.029438581144047186,-0.9487848496469441,0.8754443539885893,1.2852057739446074,0.7359624772868937,0.7846634278360635,0.5522476382238227,-0.42259484176011797,0.28070005402644543,1.0164864916028067,1.352518034868512,0.21057442993656075,-0.07919386385593997,-0.46424717936397514,0.15483656728805403,-0.21102023030780373,-0.21371002962312904,-0.5684102259870831,-0.8158536538272144,-0.4331806099544998,-0.5058486391725212,-0.411318846875781,-0.4814255376609187,0.10891070260763948,-1.5430048162005108,-0.03954194519103481,-0.5880148984141178,-0.45172395197677456,-0.894680231500126,-0.07783740850357905,0.8602266614122479,-0.42706311011145975,-0.41802283185366973,-0.41802283185366973,-0.14567109426148894,0.8688938794276422,-1.4201598870686267,-1.1239029738980326,-0.27386127875258304,1.2990381056766578
2013-06-06,-2.2128757752240125,-0.04591690859154408,0.46050958201498066,-1.1330561672594253,-1.469899106238901,-1.4460043371257865,-1.4065453790399745,-0.9287983287232779,-0.13505165642051808,-1.0535660638009106,-0.44598842767001806,-1.4144713461960534,-0.2513570947066551,-0.25207120924275583,1.0278243684741066,-1.4144713461960523,-0.25135709470665385,-2.002533801848496,-1.031831227267014,-0.5960331835035361,0.05318251253292059,0.046015725111421824,-0.08469191372201985,-0.410119764194156,-0.207359473256855,0.040190829740831824,-1.0319532678030332,-0.42206149135762355,-0.25992149765401895,-0.15578060237368574,-1.4405293936439851,-1.4405293936439851,-0.2668782975435696,-0.17534782277670763,-0.3201858809002947,-0.19505831853603223,-0.029437035469879542,-1.0340964569489517,0.6974572515180489,1.2742181816190916,0.7345871108284947,0.8353696278124263,0.6024926845897111,-0.6063224303207043,0.30416313944761686,0.9394694257490755,1.3748449155123306,0.2005968891925831,-0.061752898271833896,-0.4370892589294953,0.18254123092493849,-0.2045732296902171,-0.47793211840158356,-0.7821279681210626,-0.9781763649137478,-0.6650045415244007,-0.6774017051510864,0.0954952005943023,-0.32175193968742616,-0.20914758257051663,-1.5307817911171098,0.054764218818445266,-0.4865768296583397,-0.36251472416131303,-0.9725715775533244,-0.18124380996016032,0.574170253853982,-0.262493986685466,-0.2535430616399437,-0.2535430616399437,-0.281953311782177,0.5332373796060803,-1.355595999255415,-1.1239029738980326,-0.27386127875258304,1.2990381056766578
