Asset,RMSE,R²,Dir_Acc,Total_Return,Sharpe,Sortino,Max_DD,Calmar,Win_Rate,Profit_Factor,Trades,Skipped,Costs,Mean_Confidence,High_Conf_Pct
BIL,0.00015903242121079213,0.1551124023953665,0.6115537848605578,-0.7135882893090723,-8.442405546808457,-9.35976690434315,-0.7307507272795606,-0.24510111444175714,0.399402390438247,0.112167763628892,271,0,0.8113407,0.9997779,1.0
EFA,0.005458327920202959,0.6645025823096771,0.8396414342629482,4.937862030639844,11.412661551708558,23.621037340396555,-0.022321854421054166,55.52333034501423,0.7739043824701195,7.753232302784681,409,0,1.2064357,0.9832377,1.0
HYG,0.0031321585274927425,0.593935909319206,0.850597609561753,1.8675389742329032,7.477885351823443,18.460344155145695,-0.0177437135034757,26.417516381016842,0.6444223107569721,4.2626327835132996,400,0,1.1899459,0.99240553,1.0
IEF,0.003516094504591185,0.5301621542330759,0.853585657370518,2.0600172298917343,8.507856965736824,16.44433281482707,-0.026243781181476633,19.702043462693315,0.702191235059761,4.567621385474275,435,0,1.2936288,0.9923037,1.0
QQQ,0.007604193729976195,0.6236570197837755,0.8725099601593626,7.554789930519846,14.364396990720499,29.352666965397404,-0.03130569434656527,60.57115848650274,0.8187250996015937,13.132094808609057,417,0,1.2291449,0.9834497,1.0
SPY,0.005629749293894117,0.6654525980146577,0.8854581673306773,5.398662541704399,12.485094425315477,28.756808143991172,-0.04444314393052551,30.489354926607636,0.7788844621513944,10.949573149938713,439,0,1.2967788,0.9857297,1.0
