Date,INTC
2013-05-23,-0.0008313008086531036
2013-05-24,-0.00542009228078098
2013-05-28,0.006666621645924444
2013-05-29,0.007859452348950071
2013-05-30,-0.0024749528796993913
2013-05-31,0.0028864374288008598
2013-06-03,0.03877782993596
2013-06-04,0.004743247091990436
2013-06-05,-0.026370176069380382
2013-06-06,-0.002026507160802719
2013-06-07,-0.0024370718625727184
2013-06-10,0.016935870043233138
2013-06-11,-0.012068074378786577
2013-06-12,-0.010168332525608937
2013-06-13,0.02143636290165374
2013-06-14,-0.0028047332804038197
2013-06-17,0.007196710957507807
2013-06-18,0.01463367871577839
2013-06-19,-0.018625606666334667
2013-06-20,-0.032936450794042144
2013-06-21,0.00041349328451875005
2013-06-24,-0.025954069455311445
2013-06-25,0.012642647734624198
2013-06-26,0.005429146466383975
2013-06-27,0.0016645687983973818
2013-06-28,0.007456837767388978
2013-07-01,-0.014131911974311772
2013-07-02,-0.007141284563905989
2013-07-03,0.0016849025532064909
2013-07-05,0.012547355983406956
2013-07-08,-0.03682986232556539
2013-07-09,-0.0021584917609503438
2013-07-10,0.0047426143469774164
2013-07-11,0.03133232796933292
2013-07-12,-0.0037593150915739416
2013-07-15,0.0016726608933944889
2013-07-16,0.012865700300242405
2013-07-17,-0.004132248221271955
2013-07-18,-0.03840951821501487
2013-07-19,-0.008642892860522597
2013-07-22,-0.011788088947396056
2013-07-23,-0.0008788978828662069
2013-07-24,0.007881155983921683
2013-07-25,0.005653444025608519
2013-07-26,0.008635654474077045
2013-07-29,-0.0008603747928224652
2013-07-30,0.006006241623473966
2013-07-31,-0.0017123110770313412
2013-08-01,-0.006016678695464759
2013-08-02,0.0008619702234351346
2013-08-05,-0.0032667512489688846
2013-08-06,-0.00524973694901235
2013-08-07,-0.004395361871827593
2013-08-08,-0.011074541439587046
2013-08-09,0.002669119674113071
2013-08-12,0.005758215341205563
2013-08-13,-0.005314034712331494
2013-08-14,0.0022178338059312117
2013-08-15,-0.024216212011584727
2013-08-16,-0.0054624036783077565
2013-08-19,0.016746424423282703
2013-08-20,0.01071435746067833
2013-08-21,-0.0156636421294787
2013-08-22,0.004050685005484335
2013-08-23,0.008054206228609879
2013-08-26,-0.007604456716851982
2013-08-27,-0.0035986558419639756
2013-08-28,0.004496270913004637
2013-08-29,-0.010372303629141254
2013-08-30,-0.003632622980325785
