Date,AMD
2013-05-23,0.012547263496777742
2013-05-24,0.009925629817233826
2013-05-28,0.0
2013-05-29,-0.017435104124795073
2013-05-30,0.014962858442059178
2013-05-31,-0.00995032141084811
2013-06-03,-0.010050326220427584
2013-06-04,0.012547263496777742
2013-06-05,-0.025253902447383837
2013-06-06,0.007643341883944581
2013-06-07,-0.007643341883944622
2013-06-10,0.037645563571075166
2013-06-11,-0.024938924620469025
2013-06-12,-0.015267457310675045
2013-06-13,0.012739013396069176
2013-06-14,-0.002534853152055743
2013-06-17,0.02753619038067309
2013-06-18,0.00982807914878778
2013-06-19,-0.004901965730517207
2013-06-20,-0.049525178569087704
2013-06-21,0.03303988364949717
2013-06-24,0.012422567093584014
2013-06-25,0.024391429009236073
2013-06-26,-0.0024126016353442597
2013-06-27,-0.014598785870792663
2013-06-28,0.0
2013-07-01,0.004889980733338848
2013-07-02,-0.032220848544206745
2013-07-03,0.02241685761422616
2013-07-05,0.002460082111813219
2013-07-08,-0.017348680511854588
2013-07-09,0.012422567093584014
2013-07-10,-0.017435104124795073
2013-07-11,0.05103372909512395
2013-07-12,-0.02964861132393294
2013-07-15,0.01834912060618362
2013-07-16,0.006794982708665556
2013-07-17,-0.011350794790879137
2013-07-18,0.05103372909512395
2013-07-19,-0.049525178569087704
2013-07-22,-0.03278985043142743
2013-07-23,-0.049525178569087704
2013-07-24,-0.00823049106109974
2013-07-25,0.01910015273448682
2013-07-26,0.03191757260510683
2013-07-29,-0.01849456516045682
2013-07-30,0.01849456516045676
2013-07-31,-0.013175408742137134
2013-08-01,0.010554177719477014
2013-08-02,-0.0026281199361225405
2013-08-05,0.00524935095878255
2013-08-06,-0.026526729166799174
2013-08-07,-0.00809720241664192
2013-08-08,0.005405413342211417
2013-08-09,-0.016304693179083365
2013-08-12,0.0
2013-08-13,0.010899279836871943
2013-08-14,0.034623931583441216
2013-08-15,-0.034623931583441174
2013-08-16,-0.008163302695052731
2013-08-19,-0.016529351893171625
2013-08-20,0.008298860832071831
2013-08-21,-0.005524936517721636
2013-08-22,0.005524936517721633
2013-08-23,0.005494513919280717
2013-08-26,-0.019364414621012484
2013-08-27,-0.049525178569087704
2013-08-28,0.00881062104514198
2013-08-29,-0.011764830029498071
2013-08-30,-0.03308576427689502
2013-09-03,0.0
2013-09-04,0.012158193025532001
2013-09-05,0.029764144363891295
2013-09-06,0.045853260626336156
2013-09-09,0.03306089646728409
2013-09-10,0.047628003911058245
2013-09-11,-0.013004072327617121
2013-09-12,-0.01849456516045682
2013-09-13,0.021108943290144903
2013-09-16,-0.002614378129687933
2013-09-17,0.007822718386154875
2013-09-18,0.020566319338804043
2013-09-19,0.005076148117122006
2013-09-20,-0.030850807712392996
2013-09-23,-0.010498774243293582
2013-09-24,0.0026350451548232076
2013-09-25,0.02853634176486314
2013-09-26,-0.005128211350848176
2013-09-27,-0.007742028298517038
2013-09-30,-0.013037982179375431
2013-10-01,0.01303798217937551
2013-10-02,0.01030942128929636
2013-10-03,0.0
2013-10-04,0.002560818360068893
2013-10-07,-0.012870239649365116
2013-10-08,-0.03694348032351475
2013-10-09,-0.01899648225351386
2013-10-10,0.03763881530670744
2013-10-11,0.010498774243293617
2013-10-14,0.03590131863324175
2013-10-15,0.01251579598057542
2013-10-16,0.017263109475981163
2013-10-17,0.0
2013-10-18,-0.049525178569087704
2013-10-21,-0.046385152434784124
2013-10-22,-0.049525178569087704
2013-10-23,-0.012658384455781838
2013-10-24,0.028259309810535066
2013-10-25,0.033488638151128444
2013-10-28,-0.0060060184699918355
2013-10-29,0.003007518260451599
2013-10-30,-0.009049827058433886
2013-10-31,0.012048327267974135
2013-11-01,-0.009022609188974089
2013-11-04,0.0030165907189823042
2013-11-05,0.003007518260451599
2013-11-06,-0.0030075182604515716
2013-11-07,-0.012121349147384575
2013-11-08,-0.003053434597129846
2013-11-11,0.021180802214506245
2013-11-12,0.029500706728363458
2013-11-13,0.028655228350540934
2013-11-14,-0.005665732178300458
2013-11-15,-0.005698015696033632
2013-11-18,-0.008608366291577265
2013-11-19,-0.014514028821106075
2013-11-20,0.0
2013-11-21,-0.014727862977144299
2013-11-22,-0.00894192911474265
2013-11-25,0.014859171046745029
2013-11-26,0.01754429252709252
2013-11-27,0.03138628392614116
2013-11-29,0.022223181677700765
2013-12-02,0.005479460395805221
2013-12-03,-0.010989176640116416
2013-12-04,-0.013908417132114808
2013-12-05,0.019418133376426054
2013-12-06,0.005479460395805221
2013-12-09,-0.00823049106109974
2013-12-10,0.024490996172794505
2013-12-11,-0.010810905654593653
2013-12-12,0.00271370323795161
2013-12-13,0.0
2013-12-16,-0.02747429496741767
2013-12-17,0.01657501513054585
2013-12-18,0.0
2013-12-19,0.0
2013-12-20,0.010899279836871943
2013-12-23,0.01612936642298423
2013-12-24,0.0053191564183196535
2013-12-26,0.007926057783354578
2013-12-27,-0.005277052121341222
2013-12-30,0.018349121466278543
2013-12-31,0.005181353941462286
2014-01-02,0.02046111351446394
2014-01-03,0.012578770135033408
2014-01-06,0.03198307356271575
2014-01-07,0.012033770786742774
2014-01-08,0.0
2014-01-09,-0.02176619810708669
2014-01-10,0.01937104674435756
2014-01-13,-0.009638619424013638
2014-01-14,0.04033763237385441
2014-01-15,0.03877329463202465
2014-01-16,-0.02033961117206747
2014-01-17,-0.04673754504706886
2014-01-21,-0.0023951513627290238
2014-01-22,-0.049525178569087704
2014-01-23,-0.013717688630853663
2014-01-24,-0.042319392020375254
2014-01-27,-0.017442285738075762
2014-01-28,0.037414399903987094
