Date,QQQ
2011-01-04,-0.0007236783347382143
2011-01-05,0.008467907643718839
2011-01-06,0.003224123278304366
2011-01-07,-0.0008945735065699576
2011-01-10,0.003751889276944536
2011-01-11,0.0014254087576435312
2011-01-12,0.007097646826517133
2011-01-13,0.0003531143024833568
2011-01-14,0.007395810000737664
2011-01-18,0.0028030246498908363
2011-01-19,-0.01143693314872741
2011-01-20,-0.00710317918428868
2011-01-21,-0.0076930411190402085
2011-01-24,0.013734266236682788
2011-01-25,0.0014159187980564642
2011-01-26,0.005292732939245197
2011-01-27,0.006140175704620078
2011-01-28,-0.025208763771856067
2011-01-31,0.004833159297872212
2011-02-01,0.01857611910157451
2011-02-02,-0.0015787562469182263
2011-02-03,0.0017540029344850687
2011-02-04,0.0055927237502062625
2011-02-07,0.004694202742546561
2011-02-08,0.006569843274657832
2011-02-09,-0.0017247335978868728
2011-02-10,0.001552641082352491
2011-02-11,0.007213061212937293
2011-02-14,0.0023922943134754827
2011-02-15,-0.0013667063026671347
2011-02-16,0.006475061913353354
2011-02-17,-0.0003402039035408095
2011-02-18,-0.0022106380364150724
2011-02-22,-0.025208763771856067
2011-02-23,-0.008275185454706705
2011-02-24,0.005289395836263843
2011-02-25,0.013798319850902456
2011-02-28,0.002079468885976777
2011-03-01,-0.016229087541362146
2011-03-02,0.005263409119854859
2011-03-03,0.019583451138131133
2011-03-04,-0.005162046319062591
2011-03-07,-0.013546249485455185
2011-03-08,0.004013246626792681
2011-03-09,-0.0068147226573353125
2011-03-10,-0.015729284168519146
2011-03-11,0.006215178230259357
2011-03-14,-0.003546424221610039
2011-03-15,-0.014314387904636567
2011-03-16,-0.024444842015298653
2011-03-17,0.009191164265889007
2011-03-18,-0.0022563867965977665
2011-03-21,0.01910021012583551
2011-03-22,-0.0018033113248297685
2011-03-23,0.00557991546668562
2011-03-24,0.017614300527326137
2011-03-25,0.0024666526546837436
2011-03-28,-0.005469216188997739
2011-03-29,0.009682921285332378
2011-03-30,0.004718459563167127
2011-03-31,0.001394395738471943
2011-04-01,0.0005218880111471708
2011-04-04,-0.0033120206598293528
2011-04-05,-0.002622743616150321
2011-04-06,0.0024482341339118604
2011-04-07,-0.0006989490361691891
2011-04-08,-0.004730118145040376
2011-04-11,-0.0033416545252931175
2011-04-12,-0.006894799813768597
2011-04-13,0.008479478382177549
2011-04-14,-0.0017606797897905015
2011-04-15,-0.0017637086874051835
2011-04-18,-0.0070860298955452
2011-04-19,0.00620308430984087
2011-04-20,0.02236283028371601
2011-04-21,0.00791597335281586
2011-04-25,0.0025678190885444862
2011-04-26,0.005626423372135095
2011-04-27,0.006777321336599145
2011-04-28,-0.0015207710397646757
2011-04-29,-0.0008462647517127104
2011-05-02,-0.0018633951521189204
2011-05-03,-0.0047598290275800625
2011-05-04,-0.0015348114179014067
2011-05-05,-0.0054750821282974005
2011-05-06,0.0032545669675721057
2011-05-09,0.0037553265786265527
2011-05-10,0.008483226826127236
2011-05-11,-0.007290922442635122
2011-05-12,0.005938970039959314
2011-05-13,-0.011913273763250097
2011-05-16,-0.017442702694192673
2011-05-17,0.0027835205110803693
2011-05-18,0.008304298643214048
2011-05-19,0.002925008336850133
2011-05-20,-0.007587692621519327
2011-05-23,-0.014822793267377196
2011-05-24,-0.0061679501673710885
2011-05-25,0.0038815166434221977
2011-05-26,0.006143673379094629
2011-05-27,0.005063032445877353
2011-05-31,0.01606353643659889
2011-06-01,-0.022001408019521152
2011-06-02,0.00209961842689359
2011-06-03,-0.015146610853847838
2011-06-06,-0.00819636365635364
2011-06-07,-0.0017910267520464987
2011-06-08,-0.007195653423857172
2011-06-09,0.0018037146850826847
2011-06-10,-0.015436642235223912
2011-06-13,0.0
2011-06-14,0.01272949602378631
2011-06-15,-0.019155569235016153
2011-06-16,-0.0038756553606999686
2011-06-17,-0.0031369921068369875
2011-06-20,0.005191918835630718
2011-06-21,0.02122675833227155
2011-06-22,-0.007268422247673117
2011-06-23,0.009257886146049873
2011-06-24,-0.017499466012882395
2011-06-27,0.015872259448557167
2011-06-28,0.01473226822751071
2011-06-29,0.0040938166792753895
2011-06-30,0.013233627731379968
2011-07-01,0.014961946991983027
2011-07-05,0.004995286340032022
2011-07-06,0.003259387908139847
2011-07-07,0.013607639175393522
2011-07-08,-0.002706857351275993
2011-07-11,-0.018292389312787448
2011-07-12,-0.00762065960823911
2011-07-13,0.004164213943503962
2011-07-14,-0.011667740616083024
2011-07-15,0.013224515046566045
2011-07-18,-0.005373301193559376
2011-07-19,0.022511694226079817
2011-07-20,-0.004257140323312282
2011-07-21,0.006633240543153036
2011-07-22,0.010287141301898933
2011-07-25,-0.0020150446425710377
2011-07-26,0.00251884332424364
2011-07-27,-0.025208763771856067
2011-07-28,0.0017202710004465152
2011-07-29,-0.0032704597424299564
2011-08-01,-0.004666386449144411
2011-08-02,-0.025208763771856067
2011-08-03,0.009550927537176668
2011-08-04,-0.025208763771856067
2011-08-05,-0.006296604749627484
2011-08-08,-0.025208763771856067
2011-08-09,0.022905365602345837
2011-08-10,-0.025208763771856067
2011-08-11,0.022905365602345837
2011-09-08,-0.00458574636296086
2011-09-09,-0.02249825799286372
2011-09-12,0.012706199171350414
2011-09-13,0.013279129697346044
2011-09-14,0.01418979442508477
2011-09-15,0.014703518604211388
2011-09-16,0.009124057625590369
2011-09-19,0.0003536616572460082
2011-09-20,-0.004426260485607016
2011-09-21,-0.01754091223039527
2011-09-22,-0.025208763771856067
2011-09-23,0.01058209320643152
2011-09-26,0.011567251811412783
2011-09-27,0.010351557121097706
