Date,IEF_ret_1d,IEF_rsi14,IEF_macd,IEF_macd_signal,IEF_macd_hist,IEF_bb_upper,IEF_bb_middle,IEF_bb_lower,IEF_bb_position,IEF_bb_width,IEF_stochastic,IEF_mom_5,IEF_mom_10,IEF_mom_20,IEF_mom_60,IEF_mom_120,IEF_roc_10,IEF_roc_20,IEF_mom_acceleration,IEF_vol_5,IEF_vol_10,IEF_vol_20,IEF_vol_60,IEF_vol_parkinson,IEF_volvol_20,IEF_downside_vol_20,IEF_vol_asymmetry,IEF_dd_20,IEF_dd_60,IEF_dd_120,IEF_dd_252,IEF_days_since_high_60,IEF_days_since_high_120,IEF_sharpe_20,IEF_sharpe_60,IEF_sortino_20,IEF_sortino_60,IEF_calmar,IEF_ma_5_20_cross,IEF_ma_10_50_cross,IEF_ma_20_60_cross,IEF_ma_50_200_cross,IEF_adx_14,IEF_adx_28,IEF_trend_slope_20,IEF_trend_slope_60,IEF_skew_20,IEF_skew_60,IEF_kurt_20,IEF_kurt_60,IEF_autocorr_1,IEF_autocorr_5,IEF_autocorr_10,IEF_mkt_corr_20,IEF_mkt_corr_60,IEF_mkt_corr_120,IEF_beta_60,IEF_beta_120,IEF_rel_strength_20,IEF_rel_strength_60,IEF_rel_vol,ew_ret_1d,ew_value,ew_vol_5,ew_vol_20,ew_vol_60,ew_ret_5,ew_ret_20,ew_ret_60,ew_dd_60,ew_dd_120,ew_dd_252,ew_sharpe_20,ew_sharpe_60,avg_correlation_60,regime_0,regime_1,regime_2
2011-01-04,0.5866632123561826,-0.1687576114401888,-1.8754996945140234,-2.5379315173354344,1.376524081583645,-2.431876959760753,-2.4760002629043747,-2.507341243228626,0.02309985301507024,1.2555873668226376,0.8775790131498675,-0.03257249307132421,-0.12413310091996548,-1.6544185821645274,-2.3501510485948796,-0.35550468424065457,-0.12413310091996088,-1.654418582164528,0.5253666722762423,3.2297400522142277,1.9369953267319973,3.5019278371430684,2.304764910971161,3.4938534936675296,-0.3501878307075435,3.7125553080987346,-0.8833994494895239,-1.843215515038756,-2.5631032478837343,-1.6676744264002104,-1.2358628755286436,-0.9963657862140324,-0.9963657862140324,-0.9425879086640002,-1.7547307108527574,-0.878309031642565,-1.6349069340739333,-0.03362440554323569,-0.4481267112855059,-2.590805099695396,-3.06643240264886,0.5065093239902565,0.39630922499479393,1.2798015710054167,-0.7708595590772003,-2.3655333503330427,-0.41305551082341857,-0.7937629033925362,-0.38026944043923855,-0.3948686908748313,-0.7739339742823217,0.9269189023999805,-2.4947856988296433,1.1586052077387028,1.1633239822701928,0.08957827657105366,0.7704173557142853,-0.5727194775490182,-1.2937775909729583,-1.8512439165703303,7.659233360136543,0.02813411099134813,-1.624642956175601,-0.38006843998817874,-1.0737098639292615,0.087293670703063,0.6553183587452327,0.5412992534740002,0.7857816375063541,0.8206331355995147,0.8467287477859736,0.8377718267411798,0.9492114437378049,0.4802674956426761,0.17017964643811428,0.9519166199813134,-0.7632563768787071,-0.3466375393928784
2011-01-05,-2.92434745077555,0.49353287538513835,-1.7092112775535673,-2.423560732599306,1.5234759544803378,-2.519151463400542,-2.491800931631565,-2.452102160424517,-0.9456073104779315,0.06637475826559866,-0.49215889126791823,1.5644557680383755,0.1007523016852413,-1.9072656453856616,-2.283393911950872,-0.4254097244541655,0.10075230168523196,-1.9072656453856642,0.41986630527723795,1.5533010817727002,1.9743107898457193,3.352516849775864,2.318120598712526,3.268997185965978,-0.6860602871346334,3.7125553080987346,-0.94163584933508,-1.225439767145834,-3.2033434096852575,-2.155773920144939,-1.6831342740333326,-0.991303346988971,-0.991303346988971,-1.0903964066106917,-1.7036247826304136,-0.9737774731128076,-1.594335839205698,-0.03362558312199636,0.16769878893545148,-2.483478619853709,-3.102528533616582,0.4496347239730823,0.10205227112304724,1.3228572800490348,-0.26449168199874934,-2.354501963219606,-0.39632444212127643,-0.8196512322943916,-0.2571374555024769,-0.40723039680590645,-0.8187916407303252,0.8251151466610045,-2.4837171840124386,1.2481502287229815,1.1428215273317415,0.08481785865792651,0.7296718132234182,-0.5708475019678355,-1.397173517422906,-1.745643203100305,7.505481305886736,-0.024720034420055704,-1.623689693230607,-0.5519682316522331,-1.0775964340099007,0.0743865396284051,0.8503179418119587,0.570776314488807,0.6506321165237331,0.8036153638318583,0.8303242731616498,0.8223078139921246,1.0008410095108453,0.3687099158282895,0.1273676730060648,0.9519166199813134,-0.7632563768787071,-0.3466375393928784
2011-01-06,1.335730949779968,0.11787100247281977,-1.7529325628353591,-2.2971004040955623,1.1043023887558399,-2.5472100373751267,-2.503891641219358,-2.448278885315957,-0.2720557741828725,-0.19801821129031932,-0.041291342811229995,-1.1461995242055025,-1.079714628650444,-1.523905560108909,-2.686551715047402,-0.8349284991575832,-1.0797146286504473,-1.5239055601089084,0.9701614228780601,1.744471464701893,2.7038197694251256,2.806962145304345,2.4506719873357334,2.9284170352666865,-0.5080560027948698,2.763777468181174,-0.6769102080692214,0.0036331153193377252,-2.886181732499396,-1.9238209532139392,-1.4705834944564167,-0.9862409077639098,-0.9862409077639098,-0.9512743882897764,-1.9590746273291244,-0.914965464326904,-1.8045728553953628,-0.033625644287958494,0.06178225208499573,-2.4735293126862308,-3.091296102813996,0.38543378811402,-0.16360116901175803,1.3550305516885557,-0.1524015487373743,-2.364848407492121,0.19340485681906303,-0.6878785963157672,-0.7438589876645892,-0.5802587478162172,-0.9245894526949868,0.3234119788242674,-2.550510818076351,0.8570335461378076,1.0997774154947755,0.1346465978211338,0.6323653631179811,-0.6379908466287996,-1.367267139315341,-1.9545142877704451,6.541515352642512,-0.2051800531640619,-1.6271968050059091,-0.6646700786683252,-1.1141119820657,0.07459337599164331,0.43983175760560766,0.6774297655381462,0.6361679857855079,0.7455115502464973,0.7743144412899444,0.7695090030596348,1.2164130770767407,0.3561101970437372,0.093462529004316,0.9519166199813134,-0.7632563768787071,-0.3466375393928784
2011-01-07,1.7263473476269884,0.08626536925285312,-1.679043833621103,-2.2051249519609395,1.0695468806051758,-2.5550843333506705,-2.507825810037173,-2.448281435533455,0.6240428750345116,-0.2631552061921474,1.0062222629084274,-0.26683373549979367,-0.3591302796723615,-0.620793648780122,-2.412278762941775,-0.6438650906581245,-0.3591302796723628,-0.6207936487801239,2.101300899885225,2.221619044221096,2.894804100829678,2.697641484289229,2.501459905226641,2.731226920241012,-0.3129492374487386,2.5784125915476506,-0.6029560198939348,0.7117974647985147,-2.4930963891369546,-1.62421017894115,-1.1960342852614823,-0.9811784685388486,-0.9811784685388486,-0.4503366791155688,-1.753165185942388,-0.5264374535260856,-1.6358505403608818,-0.033624594992109125,0.07015859160621524,-2.4138799035128367,-3.027819938036183,0.32881416785566764,-0.38092576751638446,1.385377894037969,-0.07357415883674372,-2.3631688216276334,-0.18209063610850837,-0.7780812171691016,-0.6271611489760939,-0.6063617663295073,-1.1528819626669917,0.33296741435868316,-2.621933210170941,0.7849651669813272,1.07486046082786,0.13293581780744945,0.5796277837297972,-0.6502798503654432,-0.9079425914148466,-1.784445039401875,6.1220211838642555,-0.2184166544197707,-1.6310285821977808,-0.7653356347958453,-1.1071868162590515,0.07650373753379056,0.5320324927332417,0.6536071082143099,0.5832215830738104,0.6955981669143816,0.7261998678037708,0.7241528185523715,1.1687444705734935,0.3095795471259047,0.06639464162576555,0.9519166199813134,-0.7632563768787071,-0.3466375393928784
2011-01-10,0.86750438221626,0.001300986181542445,-1.4873881199915693,-2.1160087912982157,1.34272699645322,-2.560029064773874,-2.509096043588725,-2.4458971822709903,1.1174078873587112,-0.3243973433868295,1.5050143598477372,-0.06948998993460215,0.5718067364155731,-0.32175505002414506,-2.18516095374773,-0.5056676182659265,0.5718067364155799,-0.3217550500241464,1.9458016488243872,2.44992775812076,3.0610731422449384,2.8571997256088455,2.5813689856472255,2.9919136175330707,-0.2277619726235259,2.5784125915476506,-0.5295159879169917,1.307153364466344,-2.290208052477262,-1.4695681077879652,-1.054327571120696,-0.9761160293137874,-0.9761160293137874,-0.27957544807309564,-1.5787411144220522,-0.39228940533187556,-1.5019270997972691,-0.033623717173246435,0.0932840711962287,-2.2852486837130757,-2.95316443635124,0.28127269530250676,-0.500515260491786,1.3914723070625128,0.14746918609687987,-2.337269402345603,-0.23828511730247917,-0.7905275868338201,-0.7505220557653646,-0.6628348853194069,-0.8861180469350175,0.5036621545711525,-2.642681179936339,0.5950037147422641,1.0292313631877368,0.1058338261916192,0.47459610883012543,-0.7219173581144708,-0.6584224236798116,-1.5692508661897029,6.174324157275805,0.06661510773066728,-1.6278219630999222,-0.690197237004799,-1.0935664840306016,0.0514903755703772,0.30871627328542084,0.5379077609598506,0.35063988680355096,0.7373681342733965,0.766464502854412,0.7621090984100595,0.9634638228228692,0.11602286153670499,0.039686721383063124,0.9519166199813134,-0.7632563768787071,-0.3466375393928784
2011-01-11,-1.087941305268756,0.1564037812447395,-1.2623535983637704,-2.0044184497905255,1.6465794175436617,-2.544125689796897,-2.503285796631888,-2.4501367825933347,0.4732905866234368,-0.15668401632937293,0.4753012051293613,0.731733353506718,0.5308885320624993,0.47613723506030814,-1.8698124337630346,-0.5787547777181826,0.5308885320625074,0.4761372350603154,2.7192645758679537,2.3676152859234487,3.0450415557295103,2.6026272505474344,2.5727088480501377,2.695944488421666,-0.06405365924991427,2.32528682627576,-0.46731679452248887,0.5187556636369218,-2.5248047591079974,-1.648378389326936,-1.2181808955266822,-0.971053590088726,-0.971053590088726,0.17069907522195532,-1.3647269023966793,-0.022810427575046848,-1.3170943199249607,-0.03362399343240688,0.22505828197829217,-2.1555769815141814,-2.8365682917144808,0.2311407220097821,-0.6917119673716425,1.3991684256401984,0.2836163340060415,-2.313987609720435,-0.5961508026799746,-0.9418035910063705,-0.42762390217222546,-0.6016568335704656,-0.8093424919285452,0.38997628816365054,-2.4658116982087126,0.7671832802314422,0.9674441716033122,0.1505950670670044,0.3552814675782942,-0.6766600308885397,-0.1942812630792897,-1.482899774472971,6.034881182095812,0.3576647572745822,-1.6174249154783569,-1.5401217531760678,-1.09414559020614,0.04623553867435146,-0.15983344693782248,0.5086715623375239,0.43649871386626937,0.8728018501372242,0.8970173734357757,0.8851774258834972,0.9161070186565393,0.19263494344027152,0.09579203049586281,0.9519166199813134,-0.7632563768787071,-0.3466375393928784
2011-01-12,-0.8070639889224722,-0.1252610937615057,-1.1441623257053797,-1.867830555878377,1.6165953128676822,-2.540357314430764,-2.5017138701520576,-2.4507534344604394,0.0977786040153816,-0.12027227014646076,0.11256511167190802,-0.04336542991835321,1.1427317235279415,-0.0027702286993473704,-1.8557235184529273,-0.5396331403851107,1.142731723527942,-0.002770228699352747,3.031703280910363,2.587404678797445,2.3102347677602393,2.6409037582762345,2.5688332835836567,2.7384431221360974,0.043944284849114605,2.288294365287491,-0.41618808193183315,0.21075703332394372,-2.695984725796647,-1.778852250094335,-1.3377409994022682,-0.9659911508636648,-0.9659911508636648,-0.1015133466274062,-1.355769650848967,-0.24533328507089797,-1.3093151750368255,-0.033625188993213526,0.217729596811836,-1.9516735506853808,-2.75442497368012,0.173936627528654,-0.7767113821674787,1.3723805063296184,0.39841459041029276,-2.3104034356932783,-0.29208963008948585,-0.9497143649135799,-0.5627448916587646,-0.5936516243871446,-0.7845066790095349,0.3681122095957788,-2.2490975486606426,0.7210016910476047,0.9603507287242201,0.1948497334600674,0.3436401271267981,-0.6762715392856191,-0.4407187867470213,-1.4974615292912352,6.007734235455982,1.2669348986330329,-1.584506350704781,-1.327189992475258,-1.085863903998529,0.04106138601510835,-0.008572114938304922,0.5635055847823041,0.3957925680564461,1.2194973856222948,1.2312184775450943,1.2002189162724595,0.9974820121567994,0.15874765915741584,0.23856668673044518,0.9519166199813134,-0.7632563768787071,-0.3466375393928784
2011-01-13,1.7488994803632494,-0.13041451760731754,-1.0921202181793,-1.73370941614001,1.4235464286173605,-2.5420648814291122,-2.49559814249229,-2.4369014216743063,0.912393364328259,-0.25231176616481127,0.9589164412909579,0.937445147681289,-0.1516216139015616,0.5157466285785219,-2.119486290866369,-0.5307346066546573,-0.15162161390155696,0.5157466285785174,2.9529872698397717,0.9018041930724369,1.5588638057969038,2.193844516954539,2.531485973765137,2.2913281155388843,0.3637539739909365,1.6237589861293034,-0.10321234445627522,0.9293925785259288,-2.2965803240174885,-1.4744250714023102,-1.0587782639325405,-0.9609287116386036,-0.9609287116386036,0.22166004658615224,-1.5433349844348945,0.04734468677227481,-1.46756999307558,-0.03362429284046944,0.3947220389261129,-1.8714607106959151,-2.6239383665700413,0.11662834338048209,-0.8280445427387312,1.3417049059857316,0.2953781210671389,-2.2962469827096714,-0.20088523125878757,-0.8522255330215033,-0.3298386194778953,-0.5862107130780435,-0.8749462852525336,0.4314045115533563,-2.2505184414537314,0.5119962166279863,0.9062566982208833,0.19642499419195508,0.26076417407109154,-0.6720238907986353,-0.4498290455038654,-1.6527065089807487,4.602229997773953,0.22275683080983139,-1.577384121984098,-0.5468023282474361,-0.934491225594916,0.08133613967677335,0.5843240173668812,0.9343809384347318,0.5948576005414852,0.883297000491353,0.907134292972209,0.8947143465271244,1.4049843042904024,0.31786069775602954,0.14136438749961633,0.9519166199813134,-0.7632563768787071,-0.3466375393928784
2011-01-14,-0.7755513031595055,0.3094900123149403,-0.9223854501161967,-1.6154701626915449,1.5699018893543801,-2.5441468968873497,-2.4830912428582854,-2.4099734119770755,0.49492164239798103,-0.4983687305959684,0.6097115951511324,1.1297522471764818,0.6511608290605241,1.2482710756460154,-2.00582185630514,-0.35590180788592013,0.6511608290605156,1.2482710756460191,2.961695450043345,1.1154464551149903,1.831731643425297,2.2410550493846695,2.586283880128812,2.4422985407280207,0.5864666518749089,1.627067824890687,-0.07038888584403159,0.6328833084266852,-2.461374715885034,-1.600031828756587,-1.1738783833620194,-0.9558662724135424,-0.9558662724135424,0.6557295226967402,-1.45509579247066,0.4387714335528518,-1.4007389275801367,-0.033624454677108444,0.5375276137920311,-1.7178520245812574,-2.4471266194828174,0.06121058801767961,-0.9910040716778993,1.296007222650851,0.20951257599835518,-2.2480701917245094,-0.564076930734209,-0.8253308889988353,-0.2622374533462147,-0.6238691539306822,-0.9350234434518024,0.6900691449609884,-2.334191717330442,0.08946823894726111,0.9478207766342742,0.18368781245572452,0.2768315310333316,-0.7235823916308853,-0.25684915862354074,-1.7612559511422283,5.059465096921252,0.6429613498552758,-1.559776180504274,-0.6550200545132606,-1.182421472378878,0.007067219046790745,0.780755832773749,1.3071901959828958,0.9273970923301674,1.018592814015055,1.0375542310245607,1.0176573624395107,2.401387574547901,0.6400340157022864,0.07729080772802834,0.9519166199813134,-0.7632563768787071,-0.3466375393928784
2011-01-18,-0.6924007600342588,0.027320787193387465,-0.8305838612941432,-1.4851904315456406,1.4878075080847195,-2.543836131600682,-2.475705879716649,-2.3956014720567254,0.06085851481508634,-0.6177203303955717,0.3007481147319609,-0.030190175260932595,-0.06386966365531127,0.6585683671626584,-2.0804635376168,-0.33845309976787674,-0.06386966365531928,0.6585683671626644,1.953997792490016,0.8334166263040497,1.7495640408685749,2.1863105863278123,2.591448129116132,2.258900205961532,0.7981317408117696,1.5873898835931188,-0.05279971368445043,0.37054291687974594,-2.607178674300235,-1.711164023356214,-1.275714694881462,-0.9508038331884812,-0.9508038331884812,0.3087461958052574,-1.5051093519054903,0.12788715976862833,-1.447229410725362,-0.03362530135761243,0.45779513538083805,-1.6233545543386219,-2.307548088223621,0.0005115823304980555,-1.2207826778388537,1.3146442963086795,0.14541405727197337,-2.2046891280343397,-0.23695319282877655,-0.7813274196896203,-0.2867446899145143,-0.6433061430417679,-0.9830954516888649,0.640463609874326,-2.3674590569999694,-0.1721287558771151,0.923256516614563,0.16681488054622667,0.2188596290181375,-0.7422495779326299,-0.5050502204520718,-1.7568389454047004,4.805349480727077,0.24282492960235752,-1.5521193296847973,-0.8383928850861022,-1.2368197718870622,-0.026702072533617983,1.1761460210651946,1.2187746044555285,0.8033223216172114,0.8897584487400395,0.9133628794921795,0.9005858507087091,2.3608388762948,0.5455296467081965,0.05517536298795855,0.9519166199813134,-0.7632563768787071,-0.3466375393928784
