Date,IEF
2011-01-04,0.0023495843634806566
2011-01-05,-0.01083196600941984
2011-01-06,0.005161085135550063
2011-01-07,0.00662969790232333
2011-01-10,0.0034044617861976527
2011-01-11,-0.00393789443787889
2011-01-12,-0.0028826590996132544
2011-01-13,0.00671414087051801
2011-01-14,-0.002765571314453654
2011-01-18,-0.002451592152438263
2011-01-19,0.0025586346912229597
2011-01-20,-0.007804961441940038
2011-01-21,0.0033216143867802845
2011-01-24,0.00010751199083293558
2011-01-25,0.005013830101743156
2011-01-26,-0.00608452755518782
2011-01-27,0.003740869450730474
2011-01-28,0.004577451490481025
2011-01-31,-0.003937361030258385
2011-02-01,-0.004660724757504922
2011-02-02,-0.0023647214410507586
2011-02-03,-0.005721066291040808
2011-02-04,-0.006188635782108878
2011-02-07,-0.00043586579877243737
2011-02-08,-0.006888887754042927
2011-02-09,0.005689989884334178
2011-02-10,-0.003278368439971632
2011-02-11,0.004585594933675211
2011-02-14,0.00032753717477750115
2011-02-15,0.002284643597920824
2011-02-16,-0.0014134815236665893
2011-02-17,0.0036931443557823257
2011-02-18,-0.00021685996055200002
2011-02-22,0.009605656514610037
2011-02-23,-0.002473541927894803
2011-02-24,0.002580885033825148
2011-02-25,0.0032167394097973763
2011-02-28,-0.0004289587562771376
2011-03-01,0.001137547781629121
2011-03-02,-0.005267664788610466
2011-03-03,-0.006814308908461976
2011-03-04,0.0071373765663763356
2011-03-07,-0.002481440886776229
2011-03-08,-0.0023787330785288727
2011-03-09,0.005829875182053439
2011-03-10,0.008469059583998805
2011-03-11,-0.00235163042812571
2011-03-14,0.0022444070976530184
2011-03-15,0.003623055104514975
2011-03-16,0.008473870178333268
2011-03-17,-0.003063947189491257
2011-03-18,-0.0006346974864175091
2011-03-21,-0.0052007931364698185
2011-03-22,0.0005317369132868402
2011-03-23,-0.0012769997357208846
2011-03-24,-0.005125039546849071
2011-03-25,-0.0026796417992814505
2011-03-28,0.00032224111577969607
2011-03-29,-0.0029006568772420274
2011-03-30,0.003437681367992709
2011-03-31,-0.0025778821482083905
2011-04-01,0.002132267383695406
