Date,HYG
2013-05-23,-0.002736354171124631
2013-05-24,-0.0018979204602337736
2013-05-28,-0.0037024083166478307
2013-05-29,-0.004036071096934895
2013-05-30,0.002019754217877012
2013-05-31,-0.013362941578296778
2013-06-03,-0.000876257895782496
2013-06-04,0.0
2013-06-05,-0.008699868125406674
2013-06-06,0.00783331966737192
2013-06-07,0.0006501428242812496
2013-06-10,-0.0020599279359277177
2013-06-11,-0.006205041799109357
2013-06-12,0.0007643489217647955
2013-06-13,0.011391663481323427
2013-06-14,0.0011855555118156441
2013-06-17,-0.00010795286869982709
2013-06-18,0.002475735023256051
2013-06-19,-0.01505358995429235
2013-06-20,-0.009870038926313579
2013-06-21,-0.006523097406548926
2013-06-24,-0.012389408828603362
2013-06-25,0.01416306116215313
2013-06-26,0.008270279583636117
2013-06-27,0.004820731130684904
2013-06-28,-0.006800053510283319
2013-07-01,0.005406570733891764
2013-07-02,-0.003085725464326189
2013-07-03,0.002314086558240028
2013-07-05,-0.010737308776262779
2013-07-08,0.013705783442145084
2013-07-09,0.0005493892182312975
2013-07-10,0.003942577581986503
2013-07-11,0.012489337435137266
2013-07-12,-0.0009717269624874104
2013-07-15,0.004205181519321819
2013-07-16,-0.0024784078553840186
2013-07-17,0.007307565227378493
2013-07-18,0.005977418630696441
2013-07-19,-0.0006383121052420585
2013-07-22,0.0007451564879962964
2013-07-23,-0.002450921532017393
2013-07-24,-0.008462498853427975
2013-07-25,-0.0022627507068082886
2013-07-26,0.00043165327140702917
2013-07-29,-0.002157974349206309
2013-07-30,0.001403017415851074
2013-07-31,0.0029088414437458588
2013-08-01,-0.009524761347705581
2013-08-02,0.006092045052486557
2013-08-05,-0.00511039687916375
2013-08-06,-0.0009816481733229585
2013-08-07,-0.0031691045046658207
2013-08-08,0.002187215443208889
2013-08-09,0.00010935187716204965
2013-08-12,-0.0008737015286287478
2013-08-13,0.0
2013-08-14,-0.0019696318109953628
2013-08-15,-0.00516097706848664
2013-08-16,-0.0034189116664919655
2013-08-19,-0.006649321935411589
2013-08-20,0.009187507538736718
2013-08-21,-0.003642620914320341
2013-08-22,0.005403621949710774
2013-08-23,0.004170958196565091
2013-08-26,0.00010974389969786846
2013-08-27,-0.006482357213529762
2013-08-28,0.0037405571933785985
2013-08-29,0.004054969910193918
2013-08-30,-0.0008752012337133972
2013-09-03,-0.005296360008458994
2013-09-04,0.003754194635341101
2013-09-05,-0.005082719875255917
2013-09-06,0.0033172009940595536
2013-09-09,0.002537221480603726
2013-09-10,0.0035171535257491017
2013-09-11,0.0013168635879523703
2013-09-12,-0.0012068376931786968
2013-09-13,-0.0007681032224657451
2013-09-16,0.005475563076240669
2013-09-17,0.003271020076223624
2013-09-18,0.00953441555236053
2013-09-19,-0.0029152351500038643
2013-09-20,-0.0011901409436941342
2013-09-23,-0.00010919491362382193
2013-09-24,-0.0021673316471354865
2013-09-25,-0.0017383683509995035
2013-09-26,-0.0005433526103811206
2013-09-27,-0.0010879904387068678
2013-09-30,-0.0028355589936922923
2013-10-01,0.004325577545376665
2013-10-02,0.0004364889371035505
2013-10-03,0.0006551319966408339
2013-10-04,0.0017443409909738763
2013-10-07,-0.00261741501398828
2013-10-08,-0.00043753980707746565
2013-10-09,0.0008739333821046506
2013-10-10,0.004575542832067315
2013-10-11,0.001845702804663138
2013-10-14,0.0015172649737301193
2013-10-15,-0.00032506420146249547
2013-10-16,0.005295069444282001
2013-10-17,0.0048387256905849385
2013-10-18,0.002036135159241313
2013-10-21,-0.002250978152683696
2013-10-22,0.002999945764277154
2013-10-23,0.0008550429996311849
2013-10-24,0.00032092965051349926
2013-10-25,0.0003203596525738575
2013-10-28,-0.00021338003434706975
2013-10-29,0.0016009904975896605
2013-10-30,-0.004061378003728537
2013-10-31,0.0005352633319023777
2013-11-01,-0.0017219005553149658
2013-11-04,0.0017219005553149337
2013-11-05,-0.002691935482429826
2013-11-06,0.0029075204008692044
2013-11-07,0.0006442937503723603
2013-11-08,-0.001720341219323612
2013-11-11,-0.003773978420421462
2013-11-12,-0.00140636537314234
2013-11-13,0.0037796706352903205
2013-11-14,0.0029062699294845197
2013-11-15,0.0015041117409623744
2013-11-18,-0.002902598098096944
2013-11-19,-0.000430462963583921
2013-11-20,-0.0009695128527962642
2013-11-21,0.003443725801282837
2013-11-22,0.0007515032364602071
2013-11-25,0.001501780700268207
2013-11-26,0.0007495794116641832
2013-11-27,-0.000642939664955371
2013-11-29,0.001071129536506047
2013-12-02,0.00032238036061411397
2013-12-03,-0.0009686183651146876
2013-12-04,-0.002585787102941205
2013-12-05,-0.0007555822727595659
2013-12-06,0.002803852876206796
2013-12-09,0.003654337587285876
2013-12-10,0.0
2013-12-11,-0.0030087620803217934
2013-12-12,-0.0018312777045780778
2013-12-13,0.001616002678248256
2013-12-16,0.0008607445548098395
2013-12-17,0.00010727902142639519
2013-12-18,0.0017197052835637933
2013-12-19,-0.0010738680034909308
2013-12-20,0.0006437924887319144
2013-12-23,0.0007520653963980251
2013-12-24,-0.0005369657658771374
2013-12-26,0.0009383007560963899
2013-12-27,-0.00010825629246401522
2013-12-30,0.0008626274195246925
2013-12-31,0.0006464052587228333
2014-01-02,0.001721295682680935
2014-01-03,-0.0003231736701343357
2014-01-06,0.002148694153572385
2014-01-07,0.0
2014-01-08,-0.0006434991033754211
2014-01-09,0.001500700304005502
2014-01-10,0.002997347541434392
2014-01-13,-0.0010698289136851454
2014-01-14,0.0014969492009636002
2014-01-15,0.0020284393036286786
2014-01-16,-0.00042671418249106053
