Date,HYG_rsi14,HYG_macd,HYG_macd_signal,HYG_macd_hist,HYG_bb_upper,HYG_bb_middle,HYG_bb_lower,HYG_bb_position,HYG_bb_width,HYG_stochastic,HYG_mom_5,HYG_mom_10,HYG_mom_20,HYG_mom_60,HYG_mom_120,HYG_roc_10,HYG_roc_20,HYG_mom_acceleration,HYG_vol_5,HYG_vol_10,HYG_vol_20,HYG_vol_60,HYG_vol_parkinson,HYG_volvol_20,HYG_downside_vol_20,HYG_vol_asymmetry,HYG_dd_20,HYG_dd_60,HYG_dd_120,HYG_dd_252,HYG_days_since_high_60,HYG_days_since_high_120,HYG_sharpe_20,HYG_sharpe_60,HYG_sortino_20,HYG_sortino_60,HYG_calmar,HYG_ma_5_20_cross,HYG_ma_10_50_cross,HYG_ma_20_60_cross,HYG_ma_50_200_cross,HYG_adx_14,HYG_adx_28,HYG_trend_slope_20,HYG_trend_slope_60,HYG_skew_20,HYG_skew_60,HYG_kurt_20,HYG_kurt_60,HYG_autocorr_1,HYG_autocorr_5,HYG_autocorr_10,HYG_mkt_corr_20,HYG_mkt_corr_60,HYG_mkt_corr_120,HYG_beta_60,HYG_beta_120,HYG_rel_strength_20,HYG_rel_strength_60,HYG_rel_vol,ew_value,ew_vol_5,ew_vol_20,ew_vol_60,ew_ret_5,ew_ret_20,ew_ret_60,ew_dd_60,ew_dd_120,ew_dd_252,ew_sharpe_20,ew_sharpe_60,avg_correlation_60,regime_0,regime_1,regime_2
2015-06-22,-1.111823132588381,-0.8845037180798823,-0.9082190564919732,-0.09214222967658565,-0.012648905784748303,0.0012459758216019975,0.013705130259976012,-0.1508525340091472,-0.12580273430084682,-0.05587965977777408,0.3736318182864887,0.060962279211998704,-0.6308137028296381,-0.16643420081666738,-0.05110954518902459,0.06096227921200348,-0.6308137028296414,-0.09446109305930134,0.32902876861216596,-0.14634132696202612,-0.39943952456505855,-0.7210395000660618,-0.3439503543287869,-0.6456427869405704,-0.22858843178735114,-0.6583674328432852,-0.11007407787395072,0.2108300748399847,0.33981175885313986,0.4045896838916267,-0.4829642947992279,-0.4829642947992279,-0.8955806124421526,-0.23730231531486884,-0.8588896251156786,-0.2726217951421011,-0.059780358595589174,-0.8113179650138117,-0.9652074305350845,-0.5616971565981925,-0.03689454688828875,0.4208979116602568,-1.2252998607131858,-1.0479912283680648,-0.4770062714247196,0.16707680528185992,0.6429556596728168,-0.6373409634775823,-0.48125018478731846,-0.6901906345653478,1.1321835037228922,0.4261049516291199,-0.8732458565765759,-1.0540364609613837,-0.14372875375246688,-0.9175289310452981,-0.6777045343155762,0.3154082707078308,-0.1057387867504095,-0.41144080282514783,-0.2858255501995114,-0.18115241517293182,-0.5872151053706202,-0.9570556488919133,0.8793353829688189,-0.2632141927637528,-0.05150093965298451,0.8615479734095405,0.869888597094957,0.869888597094957,-0.366002561840695,0.06790459108649727,-0.5830606313625064,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2015-06-23,-0.8150283219322769,-0.7742352858521663,-0.9171931543056199,0.19922267963337895,-0.02657781265115928,-0.004450030628725933,0.015469983313358068,-0.18861725548307237,-0.18072100837271213,0.374456247228188,1.094180104021601,0.2194970704586318,-0.55823634093391,-0.09179451988446245,-0.01590559792688185,0.21949707045863948,-0.5582363409339107,0.39690728828767186,-0.315026978185059,-0.12342314787073812,-0.37828422912266996,-0.713515196922863,-0.30160729451686663,-0.6467326449911338,-0.22858843178735114,-0.6395478457055579,-0.17326794073099733,0.17146522491592076,0.30822304574442105,0.37859308648680745,-0.47088732682098366,-0.47088732682098366,-0.7960325688808768,-0.12950453505423176,-0.7895795309097446,-0.16177938973562422,-0.059779976768942554,-0.4814767753933934,-0.9170965899547286,-0.6033120590815052,-0.04323412737811461,0.49718696633545656,-1.275658316070429,-0.9256110023702505,-0.5196947176962627,0.09786130645948346,0.5686326978664995,-0.732353428006664,-0.5228226011663615,-0.6730311631964535,0.9439201063383389,0.4329714427981614,-0.6969999751588465,-1.0074476175401181,-0.12996745504255808,-0.8983441607403992,-0.6749627351610683,0.03836717213518914,-0.2808328026459694,-0.4143157379024365,-0.27223178513280294,-0.6391057465041721,-0.558587201892208,-0.9537984159599376,1.385828627737345,-0.056669117699868876,0.12023191228566776,0.8653185677885108,0.8736571442203909,0.8736571442203909,-0.12625271975514754,0.27258334394697803,-0.6356071926347237,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2015-06-24,-0.48284088255288243,-0.6952893458873096,-0.90072435272824,0.35538887482926296,-0.03575471855868424,-0.008896044505779478,0.01532555814138231,-0.4710578725257372,-0.21178762411785634,0.16007922932498914,0.42088673192848364,0.29942158042201944,-0.4743331589185857,-0.1426678293897085,0.016502118724536174,0.2994215804220256,-0.47433315891858496,0.22556793054857985,-0.5934171867743432,-0.1514520045155917,-0.393510284501265,-0.7132119424285843,-0.35049297299318805,-0.650665153285679,-0.23088899821888859,-0.6369702037906835,-0.42601536516601085,0.01402328385140836,0.18188220316124049,0.27461822657033774,-0.4588103588427394,-0.4588103588427394,-0.6940253312952323,-0.20372602170128576,-0.7099953735553249,-0.23644222863453848,-0.059779754658117246,-0.32491476290377863,-0.8624913707964749,-0.6359050777226806,-0.04863501157394153,0.6125617936934232,-1.314723835173559,-0.8392475097911481,-0.5627453277335092,-0.003982987386911423,0.6214044013995869,-0.6629930464515039,-0.5185864989018207,-0.722303734651875,0.823509918880203,0.4784073933657639,-0.7311139485064068,-1.018289977773206,-0.15438762009777462,-0.900200898997995,-0.6798283761987145,-0.4041121953478523,-0.2763549431759245,-0.25775717482452465,-0.28587582204435064,-0.6111958131446549,-0.7409127718040882,-0.9599739539132793,1.2208468456000927,0.3460415390828809,0.09124222883786214,0.6010618268623228,0.6095438821447529,0.6095438821447529,0.42133826530566315,0.24026795609793278,-0.6244109729165453,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2015-06-25,-0.4378076995152775,-0.6817669359880075,-0.870618628289908,0.3196464634394083,-0.05453500061533229,-0.017592406687047053,0.01578851554428796,-0.7922529355499676,-0.27839421860206204,-0.4352751207317939,0.23062652589266702,-0.01831073485278777,-0.7610774055979711,-0.33378236587951005,0.016455107960476553,-0.018310734852789678,-0.7610774055979713,-0.11852739206624019,-0.36560166766500474,-0.08514466779503545,-0.4002800609690417,-0.7130998943600187,-0.3342683840228766,-0.6571351413154845,-0.23157314948868102,-0.6473634476777055,-0.7103351974105211,-0.16308580587236038,0.03975926264393333,0.1576551564414147,-0.4467333908644951,-0.4467333908644951,-1.062955168241878,-0.48328085574523233,-0.9846098092013887,-0.5226713661341147,-0.05977977931416241,-0.18301458890661082,-0.8367177353965459,-0.6830345621508629,-0.056367848404111576,0.5583888500985993,-1.3082592120398011,-0.7479493380463172,-0.6058556810019138,0.3161525744592244,0.7542966185882211,-0.6125448982127197,-0.49394763138136544,-0.6446631085214944,0.6376851254401659,0.37498698606650754,-0.7673207114513915,-1.025307072583141,-0.15745315331713028,-0.8621330837135623,-0.6705204679030586,0.1161721715594957,0.18078591659391757,-0.21433192930130748,-0.29143097715552657,-0.3695425578491852,-1.0565680992310218,-0.9619761744626646,0.6078519118335294,-0.20666676188267932,-0.0883282159134231,0.5472533561868892,0.5557646269114507,0.5557646269114507,-0.22627258868113656,0.025350758182672715,-0.5667281134806856,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2015-06-26,-0.43777724206736324,-0.7263160993727191,-0.84363404352189,0.14843303073200392,-0.07337302701739445,-0.028517153711823225,0.012101593568546884,-1.1044359371478703,-0.3289617835239413,-1.008621695021285,-0.4827728549432594,-0.4141874064571667,-0.9120854748819184,-0.3970662313099217,-0.05690698325719828,-0.41418740645716473,-0.9120854748819174,-0.44588869801537556,-0.5020222083338691,-0.05462126503331426,-0.3708113107165371,-0.6973219889234621,-0.2458028602756426,-0.659572124501516,-0.2153155811633895,-0.6653104289423345,-0.984144907215119,-0.33364790869224886,-0.09710998348784569,0.0450157248652391,-0.43465642288625084,-0.43465642288625084,-1.2392361710497226,-0.5753677566628945,-1.1221898927018719,-0.6157346262733523,-0.05978015209885162,-0.20001620468170717,-0.8417822649432573,-0.7394211713909805,-0.07052058972339209,0.3898343094369187,-1.2417672170597025,-0.6948018660558607,-0.6634190408752306,0.46482764119916853,0.7587687899142523,-0.7066135316530331,-0.5429986643706702,-0.48472395243947647,0.45396561102384003,0.370791573501287,-0.7180522659181224,-0.981338594234292,-0.15187132275111973,-0.7866928684356388,-0.6598391691756786,0.0868575780441323,-0.06657619210790955,-0.18370600513263916,-0.3317662508078947,-0.9899762176775329,-1.0506857386990058,-1.0311585665030345,-0.10098100015488502,-0.264179715887111,0.07612261585158535,0.15655690467959812,0.16528030500804308,0.16528030500804308,-0.31130365580669256,0.2503154755793445,-0.5882464576865708,0.8897565210026093,-0.27386127875258304,-0.7698003589195009
2015-06-29,-0.656298388511025,-0.8136383005377003,-0.8316003536748954,-0.09358514347000155,-0.09925058290052113,-0.04321139348887335,0.007626988828592006,-1.9591313248976885,-0.4008491453641956,-2.3537369499181717,-0.8503398790618912,-0.35353720128992766,-1.1656687000046557,-0.5708148229682584,0.0985236484294806,-0.35353720128992944,-1.1656687000046555,-0.21650171143768665,-0.48926593612067465,-0.09162503472109694,-0.3705436293547906,-0.6899756393194778,-0.19483358203948145,-0.6628005845753566,-0.22698439521641597,-0.6433145474437738,-1.6265235907425648,-0.73379974825741,-0.4182157843313252,-0.21924506347868264,-0.4225794549080065,-0.4225794549080065,-1.5599639597639647,-0.827589913134312,-1.3713205162989226,-0.8691708054009202,-0.05977986172767595,-0.27945980042512014,-0.8388654077331248,-0.8084983644219745,-0.08463737053302525,0.26146322733855976,-1.1627132171791592,-0.6413381629441911,-0.7234021529402467,0.7664245350525789,0.8783832127258856,-0.6126378314907488,-0.5406928679531451,-0.3864000391994886,0.454286234744494,0.6297539002143188,-0.33297727772065994,-0.8668615584693544,-0.4798204103435078,-0.7272791883179148,-0.7707160685564094,-0.3691687864110173,-0.33771570064590406,-0.1170858317065595,-0.4134871678235775,-0.39032345543950714,-0.8870026767663874,-0.9549369074810261,-0.5298295263912586,-0.4586752204625561,-0.08733943512977797,-0.6350101134872553,-0.6258569298900779,-0.6258569298900779,-0.5963179118323007,0.02422049771419175,-0.41643399496582156,-1.1239029738980326,-0.27386127875258304,1.2990381056766578
2015-06-30,-0.9662388111886403,-1.0112210476342387,-0.8407004512548238,-0.5579914564593191,-0.12375702381597437,-0.06528160706380742,-0.011986291687434909,-1.1656322584705616,-0.4085571287830315,-0.7091903238035574,-1.784241409530721,-0.5230602984621856,-1.6614371627102937,-0.8362615721420227,0.024421994474447664,-0.523060298462185,-1.6614371627102968,-0.3024716632588938,-0.448609988976226,0.088548889754354,-0.24757728141588292,-0.6015623726184887,-0.01654687835059301,-0.6431551738148776,0.025841679421179174,-0.8869673025264796,-1.0086132693455363,-0.45830690400006485,-0.19714382705122505,-0.03730923560477342,-0.41050248692976227,-0.41050248692976227,-2.054171591060303,-1.1813062247799067,-1.6470400547950703,-1.1858422494828795,-0.05978100401534822,-0.5353003127744256,-0.847695851297209,-0.9057374172482909,-0.1004818871370435,0.18411144263061172,-1.058541263909065,-0.636951301064483,-0.8029583752223755,0.6316070245788815,0.5780254161057493,-0.46205482627364164,-0.5517683574144343,-0.15538228871105977,0.20709529790019457,1.186736702087979,0.1635555120622326,-0.36824498926758437,-0.29931822206425895,-0.6760429047154659,-0.7590988806937586,0.27615853473752183,0.22239843781601604,-0.509011774652919,-0.396404330585455,0.44910422627851887,-0.27554322554890553,-0.6613150727714806,-1.9119834973580707,-1.100454667001764,-0.5356665195410484,-0.4695419441590122,-0.4604786019132971,-0.4604786019132971,-1.2772173281363188,-0.5589908514697941,-0.1710874488802325,-1.1239029738980326,-0.27386127875258304,1.2990381056766578
2015-07-01,-0.6941367761011404,-1.0641507601851623,-0.8903539673158182,-0.5742593162183895,-0.16164697191580296,-0.08164125842163565,-0.008816760503831003,-1.1247357223793564,-0.5524416587989601,-0.6864935648520826,-1.2166566184505305,-0.5913834219364884,-1.2783916033199874,-0.7601057996075681,-0.011063424479788763,-0.591383421936492,-1.2783916033199854,-0.33940950404503584,0.4164630541024396,0.01341962676430205,-0.10272937386621808,-0.5685100320047286,0.08163925862087407,-0.579893460393458,0.06797415616997447,-0.7079501620994494,-0.4825171192966594,-0.44838603651171827,-0.18918272882568807,-0.030757481984510178,-0.398425518951518,-0.398425518951518,-1.4993796065300684,-1.0646127876260685,-1.3080149954195206,-1.08474789525718,-0.05978036213029578,-0.6937806778863768,-0.868310386438009,-0.9754222817633773,-0.11546581560826451,0.11817919183954512,-0.9358916519964715,-0.5504685139030033,-0.8560885656775,0.4906461020330159,0.6198219383535897,-0.785305469986418,-0.6170067866282561,-0.7943709160879728,0.2113448086361083,1.5154194424502498,0.035885141003332406,-0.5153065071450138,-0.46674204470159036,-0.6630597011543715,-0.7941341113512753,0.43297397095951723,0.44808425227865395,-0.3547446329328044,-0.37506336787523753,0.5198074830942433,-0.23992691175020545,-0.7638130996861671,-1.8585077461402544,-0.9057568225360395,-0.7247372407170205,-0.26282862235310295,-0.253877515616318,-0.253877515616318,-1.065896703960746,-0.7583684273017998,-0.3674272343179042,-1.1239029738980326,-0.27386127875258304,1.2990381056766578
2015-07-02,-0.8383437046614473,-1.0930735287211064,-0.9414280440069088,-0.5283143190495605,-0.17839329131424858,-0.0931116534823139,-0.015410394748085506,-0.4651492556757148,-0.5846593875986376,-0.18901216242294663,-0.9165899408731417,-0.5078995243585387,-0.952262087255699,-0.9365747101482146,-0.1885463230432324,-0.5078995243585351,-0.9522620872557017,-0.07272173955156899,0.46114442854526616,0.016531209036070835,-0.1894506209674483,-0.6279317409348665,-0.09865646993088956,-0.5746179673559139,-0.0396630910620865,-0.6098735250694018,0.05868670120764685,-0.23093441348623947,-0.0146865235047566,0.11284784890644235,-0.3863485509732737,-0.3863485509732737,-1.1881888634565914,-1.3338470163385578,-1.084475559950746,-1.3193453002780522,-0.05978080313602153,-0.814431960446465,-0.8790787447310988,-1.0106571561507522,-0.13131641000537495,0.15934216196308862,-0.8143832237184444,-0.5245913328239813,-0.8886554599397289,0.367217701890212,0.6019818185202921,-0.6502294049758937,-0.4848021526932543,-0.7726976991292989,0.13186192864086813,1.471759546016468,0.46971147075380837,-0.18567608895873725,-0.7521784658207472,-0.6571460433219641,-0.8856396574475622,0.44461413964328567,-0.07048150404562786,-0.5141759452052372,-0.34333801622227167,0.8777619807450993,-0.19207045195451786,-0.7465213836907372,-1.3864558499075201,-0.7485854872660366,-0.6117923510507023,0.0444702054783779,0.053254463557156725,0.053254463557156725,-0.8972323207593057,-0.6324255511848459,-0.33021075257741367,-1.1239029738980326,-0.27386127875258304,1.2990381056766578
2015-07-06,-0.33755988152052535,-1.0325834486464107,-0.9884900591794865,-0.27196695564675555,-0.18852271596173684,-0.09856568641152975,-0.016600344321233834,-0.9510082000541459,-0.6151852471497014,-0.6261519395358651,-0.20235929723642987,-0.505130960105755,-0.5447439182948118,-0.8003975727437337,-0.21942748682785201,-0.5051309601057532,-0.5447439182948131,0.03828224166806034,0.665237633482624,0.018804469808339875,-0.14544568587201118,-0.5966725902169353,-0.08160101018579052,-0.5574389296551588,-0.04150536995349882,-0.5246905667733156,-0.2509233209139093,-0.4220104086049527,-0.16801734537785706,-0.01333898346834178,-0.37427158299502944,-0.37427158299502944,-0.7181244132265988,-1.1294687369078584,-0.7378615015226534,-1.1372885789493545,-0.059780041539963615,-0.8036255498105266,-0.8976414216495583,-1.0194017625919891,-0.14345705889937205,0.05837442965556606,-0.7272698144294724,-0.4751257946448264,-0.9074793862015224,0.05707963242149046,0.5320462302056936,-0.7874116266747765,-0.5958712742696112,-0.7388587308653162,-0.04345030721411482,1.6915165088190185,0.16861323214527812,-0.33513527774148627,-0.45972505530866054,-0.6610427615862479,-0.8011538405794765,0.4173623427730657,0.19967703133596712,-0.40816342345757173,-0.36659004247853294,1.240304179707828,-0.11934325707126142,-0.7203662090897833,-0.8818290094250533,-0.39613336021573303,-0.5427471661825851,-0.18075410381900764,-0.1718475596448935,-0.1718475596448935,-0.5377494268294574,-0.5583162591019212,-0.29708564085857364,-1.1239029738980326,-0.27386127875258304,1.2990381056766578
2015-07-07,-0.23967851668075157,-1.0410661659543858,-1.0131670170997722,-0.23628117138942947,-0.19051056732664476,-0.10422549666306481,-0.025487542649093864,-0.7552238695279115,-0.5871012164744622,-0.5207562990902793,-0.24009410022986286,-0.8048044402323944,-0.559932954259312,-0.8793273751894388,-0.2688045489661088,-0.8048044402323974,-0.5599329542593116,0.07182794119821245,0.6880836714161833,0.05759719234487174,-0.13927887616716877,-0.5798680038250192,-0.07274578636793229,-0.5481373354474498,-0.03205992577686319,-0.5346783205423422,-0.1762754662039403,-0.3759414440913152,-0.13104884921835736,0.017085019814490895,-0.3621946150167851,-0.3621946150167851,-0.7333292534430744,-1.2328984989634808,-0.7489567734022883,-1.2332935244055363,-0.05978033481791512,-0.8004650294586945,-0.9436963679037733,-1.0257599357935347,-0.15671418779427532,-0.126998360042643,-0.599727199645846,-0.5178965257306762,-0.9392645840843403,0.06139176802322539,0.5597762195795215,-0.8043445964012566,-0.6457059846925206,-0.8566472586161151,0.0596865582917624,1.6366506147263127,0.19481866737787734,-0.26358292884083234,-0.45729922374231863,-0.6082471074765246,-0.7768882422862002,0.4563660203099348,0.3641583251325571,-0.4052354845338549,-0.3948817483149627,1.108109698122079,-0.08603302242749081,-0.7040265113880774,-0.658344300888102,-0.4837074429114777,-0.7420243962366232,-0.4547938728967182,-0.4457385381527422,-0.4457385381527422,-0.625175136106948,-0.7830523464701645,-0.29431361360747776,-1.1239029738980326,-0.27386127875258304,1.2990381056766578
2015-07-08,-0.6199554108709672,-1.0231883378933677,-1.0347277802088868,-0.14299298756332,-0.19415366860431132,-0.10920550108139031,-0.03160690544828007,-1.4773866569149123,-0.5756628045516015,-1.1839949380326056,0.5773847935660431,-0.8996942984654221,-0.5134617792269912,-0.9315248904863677,-0.2498045801723085,-0.899694298465418,-0.5134617792269943,0.047682992173202925,-0.047812541632898144,0.01455830801981593,-0.13459298777340317,-0.5905815099968513,-0.045660245864426637,-0.5084942953524949,-0.03205992577686319,-0.5531693826153787,-0.6460229941708616,-0.6658463888530689,-0.3636859390724669,-0.17436857772686634,-0.35011764703854087,-0.35011764703854087,-0.6815801953152818,-1.3099115584654986,-0.7097096563963088,-1.3018501336161612,-0.05977978690487073,-0.6020510262044296,-0.9987334270663175,-1.0260413797516923,-0.1708332335256318,-0.26970488497623424,-0.47214602321135707,-0.5377522838370339,-0.9584639868561067,0.004989631947086687,0.5985087556651223,-0.8238545827218692,-0.602236342042522,-0.8454516223983468,0.0651845979350733,1.6021571827319065,0.29438568806695986,-0.3117685505815522,-0.4577519988004222,-0.6440033148730555,-0.7822416931561939,-0.058809369395653434,0.28675109394612064,-0.40548854645951343,-0.46162158225510297,-0.14710863972774696,-0.07075003411888299,-0.6850104836842172,0.0564076558867313,-0.5107426779994308,-0.9911473457635401,-1.1012507810443537,-1.0918444509244944,-1.0918444509244944,-0.6517062500824067,-1.0611620744336312,-0.3330434502419339,-1.1239029738980326,-0.27386127875258304,1.2990381056766578
2015-07-09,-0.8716214248895712,-1.0986294011723765,-1.0481423259815335,-0.2975467592035543,-0.1885061999539442,-0.11701177168378946,-0.05139610003669629,-0.9832916109679407,-0.47799954977423376,-0.8824865189653899,-0.4580342827248523,-1.2354041531053357,-0.7075601175156011,-1.0387821044207848,-0.31337032648159546,-1.235404153105335,-0.707560117515604,-0.20943355156923849,0.0743915869291716,0.11779734844796151,-0.05404467404198544,-0.5531322750127531,0.06761144404398398,-0.4934296342434472,0.09119779313239751,-0.6728399917297696,-0.43247567318862423,-0.5340555424779595,-0.25792907109178564,-0.08733373366006103,-0.3380406790602966,-0.3380406790602966,-0.8684534185944632,-1.4406666170580071,-0.843577632895477,-1.408602596332798,-0.05978050587923526,-0.6360874713632548,-1.0812320435683147,-1.0369052000746362,-0.18811272520293448,-0.36286065684458313,-0.36183648088562376,-0.6538642158886969,-0.9989824089210295,0.036363198501327604,0.5384998975373261,-0.9837146153748565,-0.6758570274661577,-0.879951148649393,-0.21373158227049782,1.635168440743985,0.4921188059805629,-0.13094185546880763,-0.3482107714004648,-0.6579040573378453,-0.7834187214259147,0.537574472332737,0.594410373688312,-0.5492492854102707,-0.4663958519445417,0.6925497684165417,0.2591654738911721,-0.5075941864717032,-1.0883711339559534,-0.9791792131683982,-1.3168013530456495,-1.1474954214620345,-1.138063982700375,-1.138063982700375,-1.063101297170084,-1.407020240392697,-0.12616649146649875,-1.1239029738980326,-0.27386127875258304,1.2990381056766578
2015-07-10,-1.0018002041239942,-1.1035285482936605,-1.0750529927237877,-0.24794402999726273,-0.1914804352630841,-0.12403480034041442,-0.06196816410624114,-0.10497849188598589,-0.44661951226291247,-0.11369247356638063,-0.23549506129621256,-0.8504195553845826,-0.6532828065786891,-0.9758997337100429,-0.1106563784985742,-0.8504195553845842,-0.6532828065786884,0.10596862371420876,0.18528614268750143,0.18652224569868925,-0.03744327545531515,-0.5414472138878035,0.09932424889950044,-0.48794538257347453,0.09119779313239751,-0.6592397658109455,0.11203286587626808,-0.19801179867559363,0.011732554328602542,0.13458998597535815,-0.3259637110820523,-0.3259637110820523,-0.8073132427291394,-1.3492165081949976,-0.8007111531763823,-1.3288739254206052,-0.0597807893778784,-0.6213161881250403,-1.1282700005561836,-1.046326800203132,-0.20299400570949308,-0.3421661882060559,-0.25100652330719825,-0.6972163786605736,-1.0280339372888108,-0.001318352413128193,0.49060725126365284,-1.0298227435292129,-0.7210121273014272,-1.0636455204964654,-0.20484207519799355,1.5045623379684636,0.5820534410767207,-0.14050386399547832,-0.44004008780044807,-0.6458091492020863,-0.8304743002825681,1.0323278853966933,0.6589246612833808,-0.40768281681457935,-0.4200013259003023,0.41768576068256197,0.15807389640403996,-0.5192256039294494,-1.4458859858960427,-1.2645781904382216,-1.2455643113612043,-0.6981077006529873,-0.6889202580649237,-0.6889202580649237,-1.3381540203560696,-1.3323630441343977,-0.1645410100111704,-1.1239029738980326,-0.27386127875258304,1.2990381056766578
2015-07-13,-0.5753680689664157,-0.9839395498876261,-1.0976321932929027,0.09747186290239103,-0.2006406010785752,-0.12784164860033986,-0.060922442318992305,0.05861733363355118,-0.4826099826920712,0.006870952557731448,-0.01922760225471009,-0.16219850634328514,-0.4328295955729147,-0.9133011003257091,-0.06326938457402037,-0.1621985063432841,-0.4328295955729167,0.4495237252036445,0.45432467237666785,0.4022946065340602,0.08442242827914247,-0.5062497359420505,0.22782856654038866,-0.4506132105596265,0.09119779313239751,-0.42481056151661506,0.1974235051721626,-0.1352186520611836,0.05402129166918042,0.16939239389927305,-0.31388674310380804,-0.31388674310380804,-0.5631605799992463,-1.2501239528621302,-0.6270107267692544,-1.249649570252426,-0.0597795352056241,-0.5776252937120727,-1.113750281661839,-1.040999095423457,-0.21363627134825428,-0.4649193601265672,-0.18342661479867636,-0.6036075213978054,-1.0216592769758697,0.11591982495753034,0.5954483798771959,-1.0905861071386467,-0.7252610449832926,-0.7617472004400389,0.17732045840744654,1.2975237356369378,0.7651866770271437,0.05748037026357658,-0.3871823650088113,-0.5968582352813896,-0.7916469581550675,0.7830956264224774,0.4518009931684528,-0.4154591364977896,-0.36951118226612184,0.795748504226239,0.34741793429870743,-0.4557494898124995,-1.232410796959491,-0.9488545335300419,-1.1308604220786682,-0.2090489149365399,-0.20012700802480385,-0.20012700802480385,-1.0252805337164344,-1.2085311520867004,-0.05876096921279605,-1.1239029738980326,-0.27386127875258304,1.2990381056766578
2015-07-14,-0.6585352019241147,-0.8641266173845865,-1.090048592748044,0.37435454285843,-0.20034270718733863,-0.12767664030619702,-0.06087875140509613,-0.08854821727683483,-0.4817460158041542,-0.07613489194591869,0.42578044799478426,0.1389386513231834,-0.16172863322694997,-0.8104524293499035,0.0019956129458596128,0.13893865132319214,-0.1617286332269539,0.9347908010483185,0.2625963670416587,0.3472983348422832,0.03947064329702613,-0.5099955983314715,0.1321850902055415,-0.506007035864212,0.07173367110632148,-0.4265323305441114,0.10134665948434353,-0.19452275002103617,0.006440332850913855,0.13023464073989058,-0.30180977512556373,-0.30180977512556373,-0.30059035466900635,-1.1143294803589743,-0.41419767244587197,-1.118053422745098,-0.0597795827838926,-0.4544800114308921,-1.0692933585489344,-1.0187756116441076,-0.22387265077301335,-0.5146690573306513,-0.12519226863305927,-0.5522526347173872,-1.0176899605691552,-0.11428981640321222,0.5074050564351615,-0.9805761618293296,-0.7217844174634603,-0.7268326765538561,0.12980775051504712,1.2310734304772262,0.5774677098611629,0.023607131803648006,-0.39558662802926914,-0.6643753042389291,-0.8209869163664676,0.15692330451636036,0.1778788110519914,-0.5115868067740266,-0.33721622924491906,1.375804967772369,0.47155991334632813,-0.3605895229941871,-0.22592996570842727,-0.31362664687863256,-0.9214641612046979,0.10376719871434124,0.11251926134410051,0.11251926134410051,-0.4812639983277496,-0.992139754055041,0.05449344940819627,-1.1239029738980326,-0.27386127875258304,1.2990381056766578
2015-07-15,-0.6778971767363213,-0.7834267882538456,-1.0582867265845728,0.49980178792352803,-0.19907401698869828,-0.12432018353766329,-0.055688990170024925,-0.11558128633404781,-0.497815379854009,0.1898370198651571,0.23327980789222433,0.603830426614781,0.05796406273699659,-0.7392150462909196,-0.15229370903841732,0.6038304266147831,0.05796406273700029,1.596502651033776,0.30681016645743525,-0.030697281683508992,-0.046836275088747305,-0.5241391663087968,0.005184706306218505,-0.6036503745773818,-0.04592635916301294,-0.2943014230797102,0.10134665948434353,-0.19452275002103617,0.006440332850913855,0.13023464073989058,-0.28973280714731947,-0.28973280714731947,-0.07364254406025861,-1.023387293200079,-0.2280513898426839,-1.033110656916433,-0.05977968580149925,-0.40296490710824,-0.9698756918371981,-0.982467688036632,-0.23818755944059064,-0.49761903695159726,-0.03814853010218022,-0.5976680030772018,-1.0264098293789539,-0.18533387148287975,0.4765726049061321,-0.7907597765939581,-0.6817429867708009,-0.6624891693856301,0.18952485606666228,1.365407268335518,0.5114605208537599,-0.09587322652896631,-0.43781120569144305,-0.6709669370128217,-0.8614976019479947,-0.059911955734887314,-0.27475530382934427,-0.5910894687698007,-0.35266239579314373,1.3013055630694177,0.5098478678443957,-0.4501611824650309,0.5953867504684807,0.058273536367763695,-0.4579193485035592,-0.04584781349043355,-0.03701451702005051,-0.03701451702005051,-0.17592693825093442,-0.5065587983439083,-0.10540697815032092,-1.1239029738980326,-0.27386127875258304,1.2990381056766578
